04-14 10:16:25	##### arguments #####
04-14 10:16:25	dataset: cifar100
04-14 10:16:25	model_config: config/model/wrn-16-1.json
04-14 10:16:25	-- num_layer: 16
04-14 10:16:25	-- widening_factor: 1
04-14 10:16:25	run_config: config/run/std_train.json
04-14 10:16:25	-- batch_size_train: 128
04-14 10:16:25	-- batch_size_eval: 256
04-14 10:16:25	-- num_epochs: 100
04-14 10:16:25	-- learning_rate: 0.1
04-14 10:16:25	-- learning_rate_scheduler: cyclicLR
04-14 10:16:25	-- momentum: 0.9
04-14 10:16:25	-- weight_decay: 0.0005
04-14 10:16:25	-- dropout_rate: 0
04-14 10:16:25	device: cuda (1 GPUs)
04-14 10:16:25	output_path: results/cifar100/baselines/standard/wrn-16-1
04-14 10:16:25	log_file: results/cifar100/baselines/standard/wrn-16-1/std_train_wrn_log.txt

04-14 10:16:25	start loading datasets: cifar100
04-14 10:16:26	loaded 50000 dataset_train samples
04-14 10:16:26	loaded 10000 dataset_test samples
04-14 10:16:26	elapsed time: 0:00:01.457901

04-14 10:16:26	start initializing a model
04-14 10:16:26	end initializing a model
04-14 10:16:26	elapsed time:0:00:00.009323

04-14 10:16:26	start setting trainer configurations
04-14 10:16:30	end setting trainer configurations
04-14 10:16:30	elapsed time:0:00:03.919915

04-14 10:16:30	start training a model
04-14 10:16:30	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 10:16:44	001	train	4.6341	0.0180	|	test	4.4821	0.0330
04-14 10:16:58	002	train	4.4246	0.0442	|	test	4.3207	0.0575
04-14 10:17:12	003	train	4.1981	0.0747	|	test	4.0398	0.0949
04-14 10:17:26	004	train	3.9414	0.1034	|	test	3.8001	0.1245
04-14 10:17:40	005	train	3.6894	0.1368	|	test	3.5120	0.1602
04-14 10:17:54	006	train	3.4603	0.1708	|	test	3.3175	0.1864
04-14 10:18:08	007	train	3.2419	0.2049	|	test	3.2650	0.2028
04-14 10:18:22	008	train	3.0320	0.2401	|	test	2.9710	0.2442
04-14 10:18:36	009	train	2.8423	0.2763	|	test	2.8639	0.2607
04-14 10:18:50	010	train	2.6855	0.3054	|	test	2.8374	0.2812
04-14 10:19:04	011	train	2.5412	0.3346	|	test	2.5366	0.3299
04-14 10:19:19	012	train	2.4204	0.3590	|	test	2.5049	0.3423
04-14 10:19:32	013	train	2.3169	0.3808	|	test	2.4120	0.3595
04-14 10:19:46	014	train	2.2287	0.4013	|	test	2.3469	0.3766
04-14 10:20:00	015	train	2.1451	0.4180	|	test	2.2237	0.4066
04-14 10:20:14	016	train	2.0813	0.4343	|	test	2.2573	0.3973
04-14 10:20:28	017	train	2.0283	0.4479	|	test	2.3158	0.3991
04-14 10:20:42	018	train	1.9771	0.4595	|	test	2.2577	0.4038
04-14 10:20:56	019	train	1.9260	0.4693	|	test	2.1356	0.4292
04-14 10:21:10	020	train	1.8952	0.4774	|	test	2.2716	0.4114
04-14 10:21:24	021	train	1.8665	0.4833	|	test	2.4761	0.3841
04-14 10:21:38	022	train	1.8323	0.4926	|	test	2.0190	0.4472
04-14 10:21:52	023	train	1.8005	0.5000	|	test	1.9957	0.4743
04-14 10:22:05	024	train	1.7788	0.5072	|	test	2.0297	0.4531
04-14 10:22:19	025	train	1.7483	0.5125	|	test	2.2389	0.4358
04-14 10:22:33	026	train	1.7248	0.5194	|	test	1.9239	0.4730
04-14 10:22:48	027	train	1.7147	0.5224	|	test	2.0033	0.4625
04-14 10:23:02	028	train	1.7039	0.5237	|	test	1.8794	0.4870
04-14 10:23:16	029	train	1.6763	0.5294	|	test	2.2372	0.4398
04-14 10:23:30	030	train	1.6700	0.5352	|	test	2.2718	0.4179
04-14 10:23:44	031	train	1.6616	0.5339	|	test	2.1773	0.4436
04-14 10:23:58	032	train	1.6422	0.5397	|	test	1.8796	0.4957
04-14 10:24:12	033	train	1.6319	0.5437	|	test	2.1131	0.4449
04-14 10:24:27	034	train	1.6255	0.5459	|	test	1.9698	0.4702
04-14 10:24:41	035	train	1.6197	0.5462	|	test	1.8478	0.5016
04-14 10:24:55	036	train	1.6036	0.5491	|	test	1.9946	0.4631
04-14 10:25:09	037	train	1.5956	0.5515	|	test	1.7496	0.5161
04-14 10:25:23	038	train	1.5924	0.5522	|	test	2.5951	0.3839
04-14 10:25:37	039	train	1.5923	0.5534	|	test	2.3039	0.4395
04-14 10:25:51	040	train	1.5800	0.5564	|	test	2.0386	0.4648
04-14 10:26:05	041	train	1.5746	0.5551	|	test	3.0823	0.3187
04-14 10:26:19	042	train	1.5775	0.5574	|	test	1.8197	0.5033
04-14 10:26:33	043	train	1.5707	0.5580	|	test	1.9606	0.4731
04-14 10:26:47	044	train	1.5612	0.5605	|	test	1.9595	0.4915
04-14 10:27:01	045	train	1.5633	0.5570	|	test	1.9328	0.4771
04-14 10:27:15	046	train	1.5581	0.5621	|	test	1.9321	0.4816
04-14 10:27:29	047	train	1.5453	0.5643	|	test	1.8993	0.4883
04-14 10:27:43	048	train	1.5501	0.5636	|	test	1.8717	0.4926
04-14 10:27:58	049	train	1.5504	0.5608	|	test	2.0659	0.4646
04-14 10:28:11	050	train	1.5453	0.5650	|	test	1.8383	0.5021
04-14 10:28:26	051	train	1.5361	0.5669	|	test	1.9524	0.4715
04-14 10:28:40	052	train	1.5280	0.5692	|	test	1.7546	0.5137
04-14 10:28:54	053	train	1.5145	0.5699	|	test	1.8603	0.4889
04-14 10:29:09	054	train	1.5043	0.5764	|	test	1.9713	0.4786
04-14 10:29:23	055	train	1.4936	0.5769	|	test	2.0691	0.4645
04-14 10:29:37	056	train	1.4900	0.5799	|	test	1.8015	0.5085
04-14 10:29:51	057	train	1.4833	0.5824	|	test	2.0756	0.4603
04-14 10:30:04	058	train	1.4726	0.5823	|	test	1.7670	0.5166
04-14 10:30:18	059	train	1.4650	0.5840	|	test	1.9336	0.4885
04-14 10:30:32	060	train	1.4520	0.5894	|	test	1.7785	0.5195
04-14 10:30:46	061	train	1.4526	0.5900	|	test	1.9679	0.4775
04-14 10:31:00	062	train	1.4428	0.5900	|	test	1.9008	0.4926
04-14 10:31:14	063	train	1.4285	0.5941	|	test	1.9214	0.4961
04-14 10:31:28	064	train	1.4276	0.5939	|	test	1.8872	0.5048
04-14 10:31:43	065	train	1.4137	0.5980	|	test	1.8323	0.5093
04-14 10:31:57	066	train	1.4094	0.5971	|	test	1.8395	0.5076
04-14 10:32:11	067	train	1.3988	0.6028	|	test	1.6736	0.5432
04-14 10:32:24	068	train	1.3912	0.6000	|	test	1.6428	0.5527
04-14 10:32:38	069	train	1.3836	0.6047	|	test	1.7268	0.5267
04-14 10:32:52	070	train	1.3714	0.6100	|	test	1.6613	0.5459
04-14 10:33:06	071	train	1.3676	0.6103	|	test	1.7805	0.5214
04-14 10:33:20	072	train	1.3602	0.6107	|	test	1.8815	0.5117
04-14 10:33:34	073	train	1.3521	0.6129	|	test	1.7430	0.5297
04-14 10:33:48	074	train	1.3394	0.6168	|	test	1.6461	0.5489
04-14 10:34:04	075	train	1.3257	0.6204	|	test	1.6412	0.5475
04-14 10:34:18	076	train	1.3154	0.6225	|	test	1.5782	0.5611
04-14 10:34:32	077	train	1.3121	0.6249	|	test	1.6772	0.5445
04-14 10:34:47	078	train	1.2981	0.6299	|	test	1.4897	0.5796
04-14 10:35:00	079	train	1.2825	0.6310	|	test	1.5791	0.5601
04-14 10:35:14	080	train	1.2760	0.6329	|	test	1.7252	0.5350
04-14 10:35:28	081	train	1.2662	0.6342	|	test	1.6010	0.5626
04-14 10:35:42	082	train	1.2579	0.6375	|	test	1.4451	0.5947
04-14 10:35:56	083	train	1.2434	0.6417	|	test	1.6444	0.5546
04-14 10:36:11	084	train	1.2277	0.6448	|	test	1.6313	0.5533
04-14 10:36:25	085	train	1.2185	0.6500	|	test	1.5867	0.5649
04-14 10:36:39	086	train	1.2025	0.6522	|	test	1.7150	0.5389
04-14 10:36:53	087	train	1.1790	0.6595	|	test	1.4585	0.5926
04-14 10:37:07	088	train	1.1655	0.6616	|	test	1.4399	0.5981
04-14 10:37:21	089	train	1.1510	0.6694	|	test	1.4676	0.5999
04-14 10:37:35	090	train	1.1265	0.6757	|	test	1.4413	0.6058
04-14 10:37:49	091	train	1.1149	0.6771	|	test	1.4202	0.6047
04-14 10:38:03	092	train	1.0851	0.6859	|	test	1.3871	0.6116
04-14 10:38:17	093	train	1.0641	0.6904	|	test	1.3267	0.6283
04-14 10:38:31	094	train	1.0396	0.6975	|	test	1.3563	0.6187
04-14 10:38:46	095	train	1.0114	0.7071	|	test	1.3094	0.6323
04-14 10:39:00	096	train	0.9822	0.7139	|	test	1.2983	0.6340
04-14 10:39:15	097	train	0.9529	0.7231	|	test	1.2630	0.6386
04-14 10:39:29	098	train	0.9182	0.7341	|	test	1.2142	0.6537
04-14 10:39:43	099	train	0.8827	0.7446	|	test	1.2020	0.6547
04-14 10:39:57	100	train	0.8473	0.7548	|	test	1.1759	0.6629
04-14 10:39:57	end training a model
04-14 10:39:57	elapsed time:0:23:27.344990

