04-14 03:13:31	##### arguments #####
04-14 03:13:31	dataset: cifar100
04-14 03:13:31	model_config: config/model/wrn-40-1.json
04-14 03:13:31	-- num_layer: 40
04-14 03:13:31	-- widening_factor: 1
04-14 03:13:31	run_config: config/run/std_train.json
04-14 03:13:31	-- batch_size_train: 128
04-14 03:13:31	-- batch_size_eval: 256
04-14 03:13:31	-- num_epochs: 100
04-14 03:13:31	-- learning_rate: 0.1
04-14 03:13:31	-- learning_rate_scheduler: cyclicLR
04-14 03:13:31	-- momentum: 0.9
04-14 03:13:31	-- weight_decay: 0.0005
04-14 03:13:31	-- dropout_rate: 0
04-14 03:13:31	device: cuda (1 GPUs)
04-14 03:13:31	output_path: results/cifar100/baselines/standard/wrn-40-1
04-14 03:13:31	log_file: results/cifar100/baselines/standard/wrn-40-1/std_train_wrn_log.txt

04-14 03:13:31	start loading datasets: cifar100
04-14 03:13:33	loaded 50000 dataset_train samples
04-14 03:13:33	loaded 10000 dataset_test samples
04-14 03:13:33	elapsed time: 0:00:02.210309

04-14 03:13:33	start initializing a model
04-14 03:13:33	end initializing a model
04-14 03:13:33	elapsed time:0:00:00.022068

04-14 03:13:33	start setting trainer configurations
04-14 03:13:37	end setting trainer configurations
04-14 03:13:37	elapsed time:0:00:04.043729

04-14 03:13:37	start training a model
04-14 03:13:37	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 03:13:53	001	train	4.6313	0.0130	|	test	4.5390	0.0198
04-14 03:14:09	002	train	4.4765	0.0281	|	test	4.4165	0.0340
04-14 03:14:25	003	train	4.3231	0.0426	|	test	4.2169	0.0520
04-14 03:14:40	004	train	4.1580	0.0599	|	test	4.0604	0.0710
04-14 03:14:55	005	train	3.9951	0.0827	|	test	3.8974	0.0983
04-14 03:15:11	006	train	3.8169	0.1086	|	test	3.6882	0.1317
04-14 03:15:27	007	train	3.6461	0.1319	|	test	3.5888	0.1409
04-14 03:15:43	008	train	3.4783	0.1605	|	test	3.4304	0.1749
04-14 03:15:58	009	train	3.2812	0.1974	|	test	3.1870	0.2129
04-14 03:16:14	010	train	3.0810	0.2280	|	test	2.9840	0.2454
04-14 03:16:30	011	train	2.8768	0.2678	|	test	2.7996	0.2793
04-14 03:16:45	012	train	2.6991	0.2996	|	test	2.7288	0.2868
04-14 03:17:01	013	train	2.5452	0.3317	|	test	2.5766	0.3250
04-14 03:17:17	014	train	2.4138	0.3592	|	test	2.5483	0.3426
04-14 03:17:32	015	train	2.2897	0.3863	|	test	2.2582	0.3925
04-14 03:17:49	016	train	2.1787	0.4115	|	test	2.2586	0.3943
04-14 03:18:05	017	train	2.0720	0.4360	|	test	2.3118	0.3940
04-14 03:18:20	018	train	1.9805	0.4560	|	test	2.1498	0.4254
04-14 03:18:36	019	train	1.9128	0.4716	|	test	1.9620	0.4682
04-14 03:18:52	020	train	1.8427	0.4897	|	test	2.0995	0.4396
04-14 03:19:08	021	train	1.7836	0.5056	|	test	1.8604	0.4833
04-14 03:19:24	022	train	1.7368	0.5141	|	test	1.8818	0.4834
04-14 03:19:40	023	train	1.6930	0.5243	|	test	1.8628	0.4885
04-14 03:19:56	024	train	1.6515	0.5342	|	test	2.1423	0.4443
04-14 03:20:11	025	train	1.6165	0.5402	|	test	1.7887	0.4978
04-14 03:20:27	026	train	1.5866	0.5507	|	test	1.9670	0.4688
04-14 03:20:43	027	train	1.5638	0.5594	|	test	2.1199	0.4498
04-14 03:20:59	028	train	1.5338	0.5671	|	test	2.0289	0.4641
04-14 03:21:15	029	train	1.5155	0.5707	|	test	1.8335	0.4978
04-14 03:21:30	030	train	1.4996	0.5763	|	test	1.7867	0.5125
04-14 03:21:47	031	train	1.4781	0.5809	|	test	1.8890	0.4993
04-14 03:22:03	032	train	1.4644	0.5818	|	test	1.7846	0.5194
04-14 03:22:19	033	train	1.4533	0.5859	|	test	1.9491	0.4884
04-14 03:22:34	034	train	1.4395	0.5892	|	test	2.1906	0.4402
04-14 03:22:50	035	train	1.4264	0.5958	|	test	1.8519	0.5090
04-14 03:23:06	036	train	1.4051	0.6005	|	test	1.8060	0.5163
04-14 03:23:22	037	train	1.3954	0.6027	|	test	1.6953	0.5308
04-14 03:23:38	038	train	1.3945	0.6019	|	test	1.9511	0.4873
04-14 03:23:54	039	train	1.3853	0.6054	|	test	1.6572	0.5419
04-14 03:24:10	040	train	1.3640	0.6094	|	test	1.7251	0.5381
04-14 03:24:25	041	train	1.3644	0.6073	|	test	1.6897	0.5453
04-14 03:24:41	042	train	1.3567	0.6096	|	test	1.7646	0.5186
04-14 03:24:57	043	train	1.3511	0.6128	|	test	2.2208	0.4548
04-14 03:25:12	044	train	1.3481	0.6141	|	test	1.7980	0.5158
04-14 03:25:28	045	train	1.3416	0.6147	|	test	2.0101	0.4880
04-14 03:25:44	046	train	1.3339	0.6176	|	test	1.7917	0.5235
04-14 03:25:59	047	train	1.3259	0.6191	|	test	1.8712	0.5015
04-14 03:26:15	048	train	1.3275	0.6178	|	test	1.8912	0.5075
04-14 03:26:31	049	train	1.3182	0.6208	|	test	2.0767	0.4631
04-14 03:26:46	050	train	1.3228	0.6181	|	test	1.8326	0.5144
04-14 03:27:02	051	train	1.3137	0.6230	|	test	1.9344	0.5099
04-14 03:27:18	052	train	1.2949	0.6276	|	test	1.7159	0.5374
04-14 03:27:35	053	train	1.2819	0.6321	|	test	1.6044	0.5648
04-14 03:27:50	054	train	1.2744	0.6337	|	test	1.6973	0.5389
04-14 03:28:06	055	train	1.2582	0.6377	|	test	1.8094	0.5263
04-14 03:28:22	056	train	1.2480	0.6409	|	test	1.9607	0.4953
04-14 03:28:38	057	train	1.2366	0.6445	|	test	1.8756	0.5185
04-14 03:28:54	058	train	1.2321	0.6411	|	test	2.0054	0.4918
04-14 03:29:10	059	train	1.2194	0.6453	|	test	1.7540	0.5303
04-14 03:29:25	060	train	1.2127	0.6486	|	test	1.5915	0.5646
04-14 03:29:41	061	train	1.2039	0.6517	|	test	1.5555	0.5762
04-14 03:29:56	062	train	1.1858	0.6559	|	test	1.7710	0.5361
04-14 03:30:12	063	train	1.1779	0.6581	|	test	1.6947	0.5460
04-14 03:30:28	064	train	1.1651	0.6606	|	test	1.6259	0.5617
04-14 03:30:43	065	train	1.1563	0.6633	|	test	1.7536	0.5442
04-14 03:31:00	066	train	1.1467	0.6678	|	test	1.5419	0.5772
04-14 03:31:15	067	train	1.1309	0.6700	|	test	1.6691	0.5579
04-14 03:31:31	068	train	1.1274	0.6696	|	test	1.6281	0.5638
04-14 03:31:47	069	train	1.1156	0.6737	|	test	1.5524	0.5718
04-14 03:32:02	070	train	1.1045	0.6770	|	test	1.6356	0.5631
04-14 03:32:19	071	train	1.0862	0.6799	|	test	1.4878	0.5940
04-14 03:32:35	072	train	1.0839	0.6805	|	test	1.6426	0.5643
04-14 03:32:51	073	train	1.0632	0.6856	|	test	1.5829	0.5752
04-14 03:33:07	074	train	1.0519	0.6915	|	test	1.5534	0.5695
04-14 03:33:23	075	train	1.0437	0.6952	|	test	1.4602	0.6075
04-14 03:33:38	076	train	1.0319	0.6948	|	test	1.4305	0.6000
04-14 03:33:54	077	train	1.0114	0.7016	|	test	1.8183	0.5458
04-14 03:34:09	078	train	1.0036	0.7034	|	test	1.4914	0.5919
04-14 03:34:25	079	train	0.9812	0.7103	|	test	1.3861	0.6185
04-14 03:34:41	080	train	0.9669	0.7136	|	test	1.4349	0.6020
04-14 03:34:57	081	train	0.9549	0.7158	|	test	1.3763	0.6242
04-14 03:35:13	082	train	0.9381	0.7225	|	test	1.4850	0.5969
04-14 03:35:28	083	train	0.9138	0.7284	|	test	1.4559	0.6131
04-14 03:35:44	084	train	0.8975	0.7325	|	test	1.3652	0.6267
04-14 03:35:59	085	train	0.8781	0.7387	|	test	1.4092	0.6192
04-14 03:36:15	086	train	0.8562	0.7452	|	test	1.5090	0.6018
04-14 03:36:31	087	train	0.8360	0.7498	|	test	1.3961	0.6225
04-14 03:36:47	088	train	0.8105	0.7581	|	test	1.2536	0.6542
04-14 03:37:03	089	train	0.7806	0.7665	|	test	1.2775	0.6461
04-14 03:37:19	090	train	0.7554	0.7717	|	test	1.2727	0.6501
04-14 03:37:35	091	train	0.7274	0.7825	|	test	1.2824	0.6528
04-14 03:37:50	092	train	0.6961	0.7894	|	test	1.3060	0.6507
04-14 03:38:06	093	train	0.6540	0.8022	|	test	1.2072	0.6726
04-14 03:38:22	094	train	0.6216	0.8096	|	test	1.2104	0.6742
04-14 03:38:38	095	train	0.5821	0.8233	|	test	1.1656	0.6839
04-14 03:38:53	096	train	0.5352	0.8398	|	test	1.1632	0.6881
04-14 03:39:09	097	train	0.4882	0.8529	|	test	1.1121	0.7014
04-14 03:39:25	098	train	0.4458	0.8648	|	test	1.1069	0.7027
04-14 03:39:41	099	train	0.3988	0.8822	|	test	1.0790	0.7104
04-14 03:39:57	100	train	0.3581	0.8975	|	test	1.0691	0.7114
04-14 03:39:57	end training a model
04-14 03:39:57	elapsed time:0:26:19.989905

