04-14 05:50:29	##### arguments #####
04-14 05:50:29	dataset: cifar100
04-14 05:50:29	model_config: config/model/wrn-40-4.json
04-14 05:50:29	-- num_layer: 40
04-14 05:50:29	-- widening_factor: 4
04-14 05:50:29	run_config: config/run/std_train_stepLR.json
04-14 05:50:29	-- batch_size_train: 128
04-14 05:50:29	-- batch_size_eval: 256
04-14 05:50:29	-- num_epochs: 200
04-14 05:50:29	-- learning_rate: 0.1
04-14 05:50:29	-- learning_rate_scheduler: stepLR
04-14 05:50:29	-- learning_rate_steps: [60, 120, 160]
04-14 05:50:29	-- learning_rate_decay: 0.2
04-14 05:50:29	-- momentum: 0.9
04-14 05:50:29	-- weight_decay: 0.0005
04-14 05:50:29	-- dropout_rate: 0
04-14 05:50:29	device: cuda (1 GPUs)
04-14 05:50:29	output_path: results/cifar100/baselines/standard_stepLR/wrn-40-4
04-14 05:50:29	log_file: results/cifar100/baselines/standard_stepLR/wrn-40-4/std_train_wrn_log.txt

04-14 05:50:29	start loading datasets: cifar100
04-14 05:50:30	loaded 50000 dataset_train samples
04-14 05:50:30	loaded 10000 dataset_test samples
04-14 05:50:30	elapsed time: 0:00:01.471275

04-14 05:50:30	start initializing a model
04-14 05:50:31	end initializing a model
04-14 05:50:31	elapsed time:0:00:00.148343

04-14 05:50:31	start setting trainer configurations
04-14 05:50:34	end setting trainer configurations
04-14 05:50:34	elapsed time:0:00:03.891608

04-14 05:50:34	start training a model
04-14 05:50:34	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 05:51:19	001	train	4.1581	0.0592	|	test	3.8869	0.0960
04-14 05:52:03	002	train	3.5426	0.1458	|	test	3.6998	0.1500
04-14 05:52:48	003	train	3.0039	0.2434	|	test	2.7690	0.2876
04-14 05:53:32	004	train	2.5209	0.3378	|	test	2.4098	0.3666
04-14 05:54:17	005	train	2.1424	0.4200	|	test	2.2137	0.4110
04-14 05:55:01	006	train	1.8937	0.4762	|	test	1.9896	0.4635
04-14 05:55:45	007	train	1.7296	0.5171	|	test	1.8189	0.5027
04-14 05:56:30	008	train	1.6075	0.5485	|	test	1.8303	0.5056
04-14 05:57:14	009	train	1.5218	0.5714	|	test	1.6571	0.5407
04-14 05:57:58	010	train	1.4534	0.5876	|	test	1.7011	0.5459
04-14 05:58:43	011	train	1.3879	0.6031	|	test	1.9287	0.5009
04-14 05:59:27	012	train	1.3424	0.6174	|	test	1.6226	0.5480
04-14 06:00:12	013	train	1.3000	0.6295	|	test	1.5379	0.5762
04-14 06:00:56	014	train	1.2704	0.6376	|	test	1.5430	0.5757
04-14 06:01:40	015	train	1.2379	0.6451	|	test	1.6201	0.5595
04-14 06:02:25	016	train	1.2143	0.6516	|	test	1.5082	0.5788
04-14 06:03:09	017	train	1.1926	0.6570	|	test	1.5351	0.5853
04-14 06:03:53	018	train	1.1602	0.6634	|	test	1.6742	0.5593
04-14 06:04:38	019	train	1.1460	0.6694	|	test	1.5402	0.5895
04-14 06:05:22	020	train	1.1211	0.6761	|	test	1.5557	0.5850
