04-13 14:54:38	##### arguments #####
04-13 14:54:38	dataset: cifar10
04-13 14:54:38	model_config: config/model/wrn-40-1.json
04-13 14:54:38	-- num_layer: 40
04-13 14:54:38	-- widening_factor: 1
04-13 14:54:38	run_config: config/run/std_train_stepLR.json
04-13 14:54:38	-- batch_size_train: 128
04-13 14:54:38	-- batch_size_eval: 256
04-13 14:54:38	-- num_epochs: 200
04-13 14:54:38	-- learning_rate: 0.1
04-13 14:54:38	-- learning_rate_scheduler: stepLR
04-13 14:54:38	-- learning_rate_steps: [60, 120, 160]
04-13 14:54:38	-- learning_rate_decay: 0.2
04-13 14:54:38	-- momentum: 0.9
04-13 14:54:38	-- weight_decay: 0.0005
04-13 14:54:38	-- dropout_rate: 0
04-13 14:54:38	device: cuda (1 GPUs)
04-13 14:54:38	output_path: results/cifar10/baselines/standard_stepLR/wrn-40-1
04-13 14:54:38	log_file: results/cifar10/baselines/standard_stepLR/wrn-40-1/std_train_wrn_log.txt

04-13 14:54:38	start loading datasets: cifar10
04-13 14:54:39	loaded 50000 dataset_train samples
04-13 14:54:39	loaded 10000 dataset_test samples
04-13 14:54:39	elapsed time: 0:00:01.190885

04-13 14:54:39	start initializing a model
04-13 14:54:39	end initializing a model
04-13 14:54:39	elapsed time:0:00:00.021907

04-13 14:54:39	start setting trainer configurations
04-13 14:54:43	end setting trainer configurations
04-13 14:54:43	elapsed time:0:00:03.854184

04-13 14:54:43	start training a model
04-13 14:54:43	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 14:55:00	001	train	1.7648	0.3319	|	test	1.4943	0.4388
04-13 14:55:16	002	train	1.3296	0.5172	|	test	1.1964	0.5628
04-13 14:55:32	003	train	1.0276	0.6384	|	test	0.9069	0.6816
04-13 14:55:48	004	train	0.8255	0.7134	|	test	0.8581	0.6982
04-13 14:56:04	005	train	0.7233	0.7524	|	test	0.7879	0.7304
04-13 14:56:20	006	train	0.6580	0.7729	|	test	0.6591	0.7717
04-13 14:56:36	007	train	0.6160	0.7883	|	test	0.7057	0.7600
04-13 14:56:52	008	train	0.5943	0.7952	|	test	0.6007	0.7939
04-13 14:57:08	009	train	0.5706	0.8030	|	test	0.6043	0.7891
04-13 14:57:24	010	train	0.5544	0.8087	|	test	0.7986	0.7394
04-13 14:57:40	011	train	0.5381	0.8146	|	test	0.9005	0.7128
04-13 14:57:56	012	train	0.5227	0.8201	|	test	0.7480	0.7532
04-13 14:58:13	013	train	0.5154	0.8230	|	test	0.7111	0.7731
04-13 14:58:29	014	train	0.5038	0.8274	|	test	0.6924	0.7736
04-13 14:58:44	015	train	0.4970	0.8296	|	test	0.6717	0.7813
04-13 14:59:00	016	train	0.4903	0.8328	|	test	0.5584	0.8135
04-13 14:59:16	017	train	0.4849	0.8332	|	test	0.6164	0.7936
04-13 14:59:32	018	train	0.4760	0.8376	|	test	0.7049	0.7708
04-13 14:59:48	019	train	0.4712	0.8378	|	test	0.6440	0.7850
04-13 15:00:04	020	train	0.4682	0.8396	|	test	0.6607	0.7758
04-13 15:00:20	021	train	0.4648	0.8403	|	test	1.1845	0.6691
04-13 15:00:37	022	train	0.4603	0.8432	|	test	1.0653	0.6859
04-13 15:00:52	023	train	0.4553	0.8433	|	test	0.8111	0.7324
04-13 15:01:08	024	train	0.4523	0.8450	|	test	0.7544	0.7561
04-13 15:01:24	025	train	0.4495	0.8459	|	test	0.8662	0.7346
04-13 15:01:40	026	train	0.4476	0.8478	|	test	0.5269	0.8207
04-13 15:01:56	027	train	0.4466	0.8484	|	test	0.6650	0.7717
04-13 15:02:13	028	train	0.4442	0.8487	|	test	0.8795	0.7354
04-13 15:02:29	029	train	0.4423	0.8481	|	test	0.6095	0.8002
04-13 15:02:45	030	train	0.4413	0.8484	|	test	0.5743	0.8025
04-13 15:03:01	031	train	0.4358	0.8503	|	test	0.6517	0.7876
04-13 15:03:17	032	train	0.4312	0.8523	|	test	0.6498	0.7907
04-13 15:03:33	033	train	0.4341	0.8516	|	test	0.5496	0.8218
04-13 15:03:50	034	train	0.4267	0.8513	|	test	0.7516	0.7569
04-13 15:04:05	035	train	0.4277	0.8540	|	test	0.6905	0.7755
04-13 15:04:22	036	train	0.4239	0.8556	|	test	0.7467	0.7533
04-13 15:04:38	037	train	0.4240	0.8548	|	test	0.6825	0.7667
04-13 15:04:54	038	train	0.4235	0.8554	|	test	0.5043	0.8327
