04-14 15:15:12	##### arguments #####
04-14 15:15:12	dataset: cifar100
04-14 15:15:12	model_config: config/model/wrn-16-8.json
04-14 15:15:12	-- num_layer: 16
04-14 15:15:12	-- widening_factor: 8
04-14 15:15:12	run_config: config/run/std_train_stepLR.json
04-14 15:15:12	-- batch_size_train: 128
04-14 15:15:12	-- batch_size_eval: 256
04-14 15:15:12	-- num_epochs: 200
04-14 15:15:12	-- learning_rate: 0.1
04-14 15:15:12	-- learning_rate_scheduler: stepLR
04-14 15:15:12	-- learning_rate_steps: [60, 120, 160]
04-14 15:15:12	-- learning_rate_decay: 0.2
04-14 15:15:12	-- momentum: 0.9
04-14 15:15:12	-- weight_decay: 0.0005
04-14 15:15:12	-- dropout_rate: 0
04-14 15:15:12	device: cuda (1 GPUs)
04-14 15:15:12	output_path: results/cifar100/baselines/standard_stepLR/wrn-16-8
04-14 15:15:12	log_file: results/cifar100/baselines/standard_stepLR/wrn-16-8/std_train_wrn_log.txt

04-14 15:15:12	start loading datasets: cifar100
04-14 15:15:13	loaded 50000 dataset_train samples
04-14 15:15:13	loaded 10000 dataset_test samples
04-14 15:15:13	elapsed time: 0:00:01.552157

04-14 15:15:13	start initializing a model
04-14 15:15:13	end initializing a model
04-14 15:15:13	elapsed time:0:00:00.186075

04-14 15:15:13	start setting trainer configurations
04-14 15:15:18	end setting trainer configurations
04-14 15:15:18	elapsed time:0:00:04.121730

04-14 15:15:18	start training a model
04-14 15:15:18	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 16:03:26	064	train	0.1616	0.9617	|	test	0.8385	0.7750
04-14 16:04:11	065	train	0.1402	0.9682	|	test	0.8509	0.7735
04-14 16:04:56	066	train	0.1201	0.9746	|	test	0.8823	0.7686
04-14 16:05:41	067	train	0.1041	0.9792	|	test	0.8742	0.7719
04-14 16:06:26	068	train	0.0967	0.9811	|	test	0.8886	0.7649
04-14 16:07:11	069	train	0.0889	0.9833	|	test	0.8803	0.7692
04-14 16:07:56	070	train	0.0824	0.9855	|	test	0.8977	0.7664
04-14 16:08:41	071	train	0.0810	0.9860	|	test	0.9215	0.7634
04-14 16:09:26	072	train	0.0796	0.9857	|	test	0.9472	0.7558
04-14 16:10:11	073	train	0.0876	0.9835	|	test	0.9604	0.7566
04-14 16:10:56	074	train	0.0888	0.9824	|	test	0.9611	0.7539
04-14 16:11:41	075	train	0.0934	0.9813	|	test	0.9969	0.7444
04-14 16:12:26	076	train	0.1009	0.9793	|	test	1.0047	0.7417
04-14 16:13:11	077	train	0.1199	0.9734	|	test	1.0323	0.7414
04-14 16:13:56	078	train	0.1278	0.9715	|	test	1.0640	0.7341
04-14 16:14:41	079	train	0.1402	0.9663	|	test	1.0870	0.7333
04-14 16:15:26	080	train	0.1506	0.9623	|	test	1.1209	0.7228
04-14 16:16:10	081	train	0.1516	0.9627	|	test	1.1047	0.7351
04-14 16:16:55	082	train	0.1506	0.9628	|	test	1.0606	0.7364
04-14 16:17:40	083	train	0.1564	0.9605	|	test	1.0875	0.7260
04-14 16:18:25	084	train	0.1481	0.9624	|	test	1.1317	0.7244
04-14 16:19:10	085	train	0.1445	0.9635	|	test	1.0923	0.7308
04-14 16:19:55	086	train	0.1544	0.9603	|	test	1.1773	0.7152
04-14 16:20:40	087	train	0.1515	0.9611	|	test	1.0993	0.7282
04-14 16:21:25	088	train	0.1451	0.9631	|	test	1.1417	0.7171
04-14 16:22:10	089	train	0.1467	0.9633	|	test	1.1744	0.7244
04-14 16:22:55	090	train	0.1429	0.9640	|	test	1.1528	0.7186
04-14 16:23:40	091	train	0.1391	0.9655	|	test	1.1203	0.7211
04-14 16:24:25	092	train	0.1317	0.9676	|	test	1.0987	0.7266
04-14 16:25:10	093	train	0.1351	0.9677	|	test	1.1513	0.7205
04-14 16:25:55	094	train	0.1400	0.9658	|	test	1.1788	0.7184
04-14 16:26:40	095	train	0.1368	0.9662	|	test	1.1240	0.7255
04-14 16:27:25	096	train	0.1382	0.9657	|	test	1.2011	0.7136
04-14 16:28:10	097	train	0.1411	0.9645	|	test	1.1214	0.7217
04-14 16:28:55	098	train	0.1404	0.9650	|	test	1.1276	0.7236
04-14 16:29:40	099	train	0.1362	0.9662	|	test	1.1465	0.7230
04-14 16:30:25	100	train	0.1412	0.9658	|	test	1.1633	0.7216
04-14 16:31:10	101	train	0.1350	0.9673	|	test	1.1668	0.7245
04-14 16:31:55	102	train	0.1362	0.9660	|	test	1.1535	0.7172
04-14 16:32:40	103	train	0.1338	0.9675	|	test	1.2285	0.7097
04-14 16:33:24	104	train	0.1325	0.9679	|	test	1.2440	0.7133
04-14 16:34:09	105	train	0.1332	0.9664	|	test	1.1461	0.7248
04-14 16:34:54	106	train	0.1314	0.9678	|	test	1.1424	0.7271
04-14 16:35:39	107	train	0.1213	0.9706	|	test	1.1622	0.7182
04-14 16:36:24	108	train	0.1317	0.9670	|	test	1.1816	0.7131
04-14 16:37:09	109	train	0.1339	0.9663	|	test	1.2231	0.7090
04-14 16:37:54	110	train	0.1291	0.9682	|	test	1.2334	0.7103
04-14 16:38:39	111	train	0.1311	0.9675	|	test	1.1434	0.7199
04-14 16:39:24	112	train	0.1345	0.9663	|	test	1.1599	0.7222
