04-14 02:07:25	##### arguments #####
04-14 02:07:25	dataset: cifar10
04-14 02:07:25	model_config: config/model/wrn-16-8.json
04-14 02:07:25	-- num_layer: 16
04-14 02:07:25	-- widening_factor: 8
04-14 02:07:25	run_config: config/run/std_train_stepLR.json
04-14 02:07:25	-- batch_size_train: 128
04-14 02:07:25	-- batch_size_eval: 256
04-14 02:07:25	-- num_epochs: 200
04-14 02:07:25	-- learning_rate: 0.1
04-14 02:07:25	-- learning_rate_scheduler: stepLR
04-14 02:07:25	-- learning_rate_steps: [60, 120, 160]
04-14 02:07:25	-- learning_rate_decay: 0.2
04-14 02:07:25	-- momentum: 0.9
04-14 02:07:25	-- weight_decay: 0.0005
04-14 02:07:25	-- dropout_rate: 0
04-14 02:07:25	device: cuda (1 GPUs)
04-14 02:07:25	output_path: results/cifar10/baselines/standard_stepLR/wrn-16-8
04-14 02:07:25	log_file: results/cifar10/baselines/standard_stepLR/wrn-16-8/std_train_wrn_log.txt

04-14 02:07:25	start loading datasets: cifar10
04-14 02:07:26	loaded 50000 dataset_train samples
04-14 02:07:26	loaded 10000 dataset_test samples
04-14 02:07:26	elapsed time: 0:00:01.183040

04-14 02:07:26	start initializing a model
04-14 02:07:26	end initializing a model
04-14 02:07:26	elapsed time:0:00:00.161283

04-14 02:07:26	start setting trainer configurations
04-14 02:07:31	end setting trainer configurations
04-14 02:07:31	elapsed time:0:00:04.658854

04-14 02:07:31	start training a model
04-14 02:07:31	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 02:08:17	001	train	1.2306	0.5600	|	test	1.2493	0.5915
04-14 02:09:02	002	train	0.7666	0.7334	|	test	0.7394	0.7418
04-14 02:09:48	003	train	0.6089	0.7884	|	test	0.6957	0.7578
04-14 02:10:34	004	train	0.5187	0.8197	|	test	0.5869	0.8049
04-14 02:11:19	005	train	0.4646	0.8417	|	test	0.5198	0.8211
04-14 02:12:05	006	train	0.4314	0.8522	|	test	0.4855	0.8327
04-14 02:12:50	007	train	0.4015	0.8612	|	test	0.4906	0.8326
04-14 02:13:36	008	train	0.3867	0.8674	|	test	0.5644	0.8177
04-14 02:14:21	009	train	0.3689	0.8732	|	test	0.5052	0.8319
04-14 02:15:07	010	train	0.3537	0.8789	|	test	0.5844	0.8054
04-14 02:15:52	011	train	0.3440	0.8833	|	test	0.4857	0.8369
04-14 02:16:38	012	train	0.3334	0.8867	|	test	0.4992	0.8365
04-14 02:17:23	013	train	0.3275	0.8884	|	test	0.4112	0.8589
04-14 02:18:09	014	train	0.3212	0.8896	|	test	0.5596	0.8174
04-14 02:18:54	015	train	0.3168	0.8908	|	test	0.5128	0.8242
04-14 02:19:40	016	train	0.3070	0.8938	|	test	0.6013	0.8099
04-14 02:20:25	017	train	0.2977	0.8986	|	test	0.5247	0.8264
04-14 02:21:11	018	train	0.2961	0.8993	|	test	0.4227	0.8589
04-14 02:21:56	019	train	0.2943	0.8996	|	test	0.4442	0.8544
04-14 02:22:42	020	train	0.2912	0.9002	|	test	0.5290	0.8241
04-14 02:23:27	021	train	0.2831	0.9030	|	test	0.4052	0.8643
04-14 02:24:13	022	train	0.2865	0.9028	|	test	0.4389	0.8590
04-14 02:24:59	023	train	0.2820	0.9029	|	test	0.5530	0.8297
04-14 02:25:44	024	train	0.2795	0.9031	|	test	0.5110	0.8432
04-14 02:26:30	025	train	0.2696	0.9083	|	test	0.4626	0.8489
04-14 02:27:15	026	train	0.2759	0.9053	|	test	0.4869	0.8401
04-14 02:28:01	027	train	0.2764	0.9049	|	test	0.5646	0.8243
04-14 02:28:46	028	train	0.2654	0.9101	|	test	0.4766	0.8493
04-14 02:29:32	029	train	0.2668	0.9079	|	test	0.4235	0.8610
04-14 02:30:17	030	train	0.2636	0.9089	|	test	0.5453	0.8273
04-14 02:31:03	031	train	0.2714	0.9076	|	test	0.4725	0.8480
04-14 02:31:48	032	train	0.2606	0.9107	|	test	0.5489	0.8275
04-14 02:32:34	033	train	0.2609	0.9092	|	test	0.4571	0.8498
04-14 02:33:19	034	train	0.2630	0.9098	|	test	0.3841	0.8714
04-14 02:34:05	035	train	0.2590	0.9112	|	test	0.3921	0.8681
04-14 02:34:50	036	train	0.2549	0.9124	|	test	0.3945	0.8680
04-14 02:35:36	037	train	0.2651	0.9095	|	test	0.5100	0.8359
04-14 02:36:21	038	train	0.2579	0.9122	|	test	0.5712	0.8204
04-14 02:37:07	039	train	0.2575	0.9133	|	test	0.3688	0.8760
04-14 02:37:52	040	train	0.2595	0.9123	|	test	0.3724	0.8761
04-14 02:38:38	041	train	0.2586	0.9111	|	test	0.3605	0.8800
04-14 02:39:23	042	train	0.2472	0.9157	|	test	0.4259	0.8700
04-14 02:40:09	043	train	0.2540	0.9119	|	test	0.3513	0.8842
04-14 02:40:54	044	train	0.2521	0.9138	|	test	0.4531	0.8527
04-14 02:41:40	045	train	0.2569	0.9117	|	test	0.4408	0.8547
04-14 02:42:25	046	train	0.2491	0.9144	|	test	0.4357	0.8526
04-14 02:43:11	047	train	0.2507	0.9140	|	test	0.3401	0.8890
04-14 02:43:56	048	train	0.2483	0.9157	|	test	0.3570	0.8856
04-14 02:44:41	049	train	0.2525	0.9137	|	test	0.4579	0.8562
04-14 02:45:27	050	train	0.2479	0.9140	|	test	0.5159	0.8371
04-14 02:46:12	051	train	0.2492	0.9139	|	test	0.3830	0.8773
04-14 02:46:58	052	train	0.2471	0.9158	|	test	0.3419	0.8861
04-14 02:47:43	053	train	0.2496	0.9146	|	test	0.4854	0.8487
04-14 02:48:29	054	train	0.2460	0.9160	|	test	0.3543	0.8838
04-14 02:49:14	055	train	0.2465	0.9153	|	test	0.4470	0.8564
04-14 02:49:59	056	train	0.2499	0.9133	|	test	0.3798	0.8754
04-14 02:50:45	057	train	0.2473	0.9154	|	test	0.3452	0.8871
04-14 02:51:30	058	train	0.2455	0.9162	|	test	0.4447	0.8564
04-14 02:52:16	059	train	0.2410	0.9184	|	test	0.3451	0.8831
04-14 02:53:01	060	train	0.2462	0.9172	|	test	0.4454	0.8613
04-14 02:53:47	061	train	0.1143	0.9629	|	test	0.1750	0.9416
04-14 02:54:32	062	train	0.0734	0.9770	|	test	0.1772	0.9415
04-14 02:55:18	063	train	0.0591	0.9822	|	test	0.1803	0.9398
04-14 02:56:03	064	train	0.0505	0.9853	|	test	0.1758	0.9447
04-14 02:56:48	065	train	0.0437	0.9874	|	test	0.1915	0.9432
04-14 02:57:34	066	train	0.0414	0.9878	|	test	0.1902	0.9413
04-14 02:58:19	067	train	0.0381	0.9889	|	test	0.1921	0.9419
04-14 02:59:05	068	train	0.0376	0.9890	|	test	0.1867	0.9441
04-14 02:59:50	069	train	0.0335	0.9910	|	test	0.1862	0.9428
04-14 03:00:36	070	train	0.0354	0.9901	|	test	0.2054	0.9379
04-14 03:01:21	071	train	0.0340	0.9903	|	test	0.2008	0.9399
04-14 03:02:06	072	train	0.0373	0.9890	|	test	0.2209	0.9334
04-14 03:02:52	073	train	0.0395	0.9888	|	test	0.2366	0.9296
04-14 03:03:37	074	train	0.0421	0.9875	|	test	0.2437	0.9285
04-14 03:04:23	075	train	0.0512	0.9842	|	test	0.2360	0.9297
04-14 03:05:08	076	train	0.0535	0.9832	|	test	0.2073	0.9355
04-14 03:05:53	077	train	0.0496	0.9844	|	test	0.2216	0.9329
04-14 03:06:39	078	train	0.0495	0.9844	|	test	0.2674	0.9197
04-14 03:07:24	079	train	0.0587	0.9817	|	test	0.2303	0.9301
04-14 03:08:10	080	train	0.0549	0.9824	|	test	0.2649	0.9202
04-14 03:08:55	081	train	0.0569	0.9824	|	test	0.2414	0.9262
04-14 03:09:40	082	train	0.0637	0.9798	|	test	0.2298	0.9299
04-14 03:10:26	083	train	0.0572	0.9816	|	test	0.2941	0.9135
04-14 03:11:11	084	train	0.0539	0.9828	|	test	0.2330	0.9314
04-14 03:11:57	085	train	0.0547	0.9828	|	test	0.2589	0.9243
04-14 03:12:42	086	train	0.0601	0.9810	|	test	0.2408	0.9269
04-14 03:13:27	087	train	0.0603	0.9805	|	test	0.2282	0.9308
04-14 03:14:13	088	train	0.0581	0.9814	|	test	0.2531	0.9258
04-14 03:14:58	089	train	0.0536	0.9832	|	test	0.2550	0.9246
04-14 03:15:43	090	train	0.0552	0.9833	|	test	0.2394	0.9306
04-14 03:16:29	091	train	0.0571	0.9822	|	test	0.2630	0.9232
04-14 03:17:14	092	train	0.0584	0.9813	|	test	0.2421	0.9270
04-14 03:18:00	093	train	0.0572	0.9822	|	test	0.2507	0.9281
04-14 03:18:45	094	train	0.0554	0.9825	|	test	0.2455	0.9245
04-14 03:19:31	095	train	0.0528	0.9835	|	test	0.2631	0.9223
04-14 03:20:16	096	train	0.0536	0.9830	|	test	0.2973	0.9130
04-14 03:21:01	097	train	0.0564	0.9823	|	test	0.2654	0.9209
04-14 03:21:47	098	train	0.0550	0.9827	|	test	0.3332	0.9069
04-14 03:22:32	099	train	0.0608	0.9807	|	test	0.3169	0.9087
04-14 03:23:18	100	train	0.0523	0.9836	|	test	0.2926	0.9166
04-14 03:24:03	101	train	0.0521	0.9835	|	test	0.2530	0.9251
04-14 03:24:49	102	train	0.0499	0.9852	|	test	0.2393	0.9283
04-14 03:25:34	103	train	0.0546	0.9827	|	test	0.2286	0.9313
04-14 03:26:20	104	train	0.0567	0.9820	|	test	0.3150	0.9087
04-14 03:27:05	105	train	0.0557	0.9825	|	test	0.2604	0.9239
04-14 03:27:50	106	train	0.0588	0.9814	|	test	0.2553	0.9259
04-14 03:28:36	107	train	0.0501	0.9841	|	test	0.2534	0.9236
04-14 03:29:21	108	train	0.0553	0.9834	|	test	0.2741	0.9174
04-14 03:30:07	109	train	0.0453	0.9865	|	test	0.2665	0.9243
04-14 03:30:52	110	train	0.0529	0.9832	|	test	0.2535	0.9241
04-14 03:31:37	111	train	0.0553	0.9823	|	test	0.2496	0.9245
04-14 03:32:23	112	train	0.0595	0.9813	|	test	0.3492	0.9013
04-14 03:33:08	113	train	0.0518	0.9841	|	test	0.2555	0.9235
04-14 03:33:54	114	train	0.0524	0.9831	|	test	0.2362	0.9308
04-14 03:34:39	115	train	0.0541	0.9828	|	test	0.2280	0.9330
04-14 03:35:24	116	train	0.0481	0.9848	|	test	0.2690	0.9227
04-14 03:36:10	117	train	0.0539	0.9829	|	test	0.2438	0.9251
04-14 03:36:55	118	train	0.0521	0.9837	|	test	0.2283	0.9303
04-14 03:37:41	119	train	0.0517	0.9840	|	test	0.2487	0.9304
04-14 03:38:26	120	train	0.0497	0.9844	|	test	0.2690	0.9234
04-14 03:39:12	121	train	0.0207	0.9949	|	test	0.1749	0.9472
04-14 03:39:57	122	train	0.0111	0.9979	|	test	0.1669	0.9496
04-14 03:40:42	123	train	0.0082	0.9988	|	test	0.1652	0.9530
04-14 03:41:28	124	train	0.0065	0.9992	|	test	0.1645	0.9538
04-14 03:42:13	125	train	0.0059	0.9994	|	test	0.1637	0.9543
04-14 03:42:59	126	train	0.0053	0.9996	|	test	0.1599	0.9555
04-14 03:43:44	127	train	0.0049	0.9998	|	test	0.1586	0.9553
04-14 03:44:29	128	train	0.0046	0.9997	|	test	0.1597	0.9543
04-14 03:45:15	129	train	0.0046	0.9997	|	test	0.1592	0.9547
04-14 03:46:00	130	train	0.0042	0.9996	|	test	0.1568	0.9557
04-14 03:46:46	131	train	0.0039	0.9998	|	test	0.1565	0.9557
04-14 03:47:31	132	train	0.0038	0.9998	|	test	0.1578	0.9560
04-14 03:48:17	133	train	0.0038	0.9998	|	test	0.1584	0.9557
04-14 03:49:02	134	train	0.0036	0.9998	|	test	0.1550	0.9566
04-14 03:49:47	135	train	0.0035	0.9999	|	test	0.1547	0.9555
04-14 03:50:33	136	train	0.0037	0.9998	|	test	0.1544	0.9568
04-14 03:51:18	137	train	0.0034	0.9998	|	test	0.1558	0.9557
04-14 03:52:04	138	train	0.0034	0.9999	|	test	0.1522	0.9565
04-14 03:52:49	139	train	0.0034	0.9999	|	test	0.1517	0.9556
04-14 03:53:34	140	train	0.0031	0.9999	|	test	0.1534	0.9565
04-14 03:54:20	141	train	0.0034	0.9998	|	test	0.1554	0.9546
04-14 03:55:05	142	train	0.0033	0.9999	|	test	0.1563	0.9570
04-14 03:55:50	143	train	0.0032	0.9999	|	test	0.1518	0.9568
04-14 03:56:36	144	train	0.0030	1.0000	|	test	0.1536	0.9564
04-14 03:57:21	145	train	0.0033	0.9999	|	test	0.1532	0.9554
04-14 03:58:07	146	train	0.0031	0.9999	|	test	0.1553	0.9548
04-14 03:58:52	147	train	0.0031	1.0000	|	test	0.1519	0.9567
04-14 03:59:37	148	train	0.0031	1.0000	|	test	0.1508	0.9567
04-14 04:00:23	149	train	0.0031	0.9999	|	test	0.1522	0.9557
04-14 04:01:08	150	train	0.0031	0.9999	|	test	0.1520	0.9559
04-14 04:01:54	151	train	0.0032	0.9999	|	test	0.1542	0.9548
04-14 04:02:39	152	train	0.0031	1.0000	|	test	0.1523	0.9552
04-14 04:03:24	153	train	0.0030	0.9999	|	test	0.1525	0.9553
04-14 04:04:10	154	train	0.0031	1.0000	|	test	0.1507	0.9569
04-14 04:04:55	155	train	0.0031	0.9999	|	test	0.1526	0.9547
04-14 04:05:41	156	train	0.0032	0.9999	|	test	0.1523	0.9562
04-14 04:06:26	157	train	0.0032	0.9999	|	test	0.1540	0.9562
04-14 04:07:12	158	train	0.0033	0.9999	|	test	0.1553	0.9542
04-14 04:07:57	159	train	0.0031	1.0000	|	test	0.1508	0.9556
04-14 04:08:42	160	train	0.0032	1.0000	|	test	0.1534	0.9559
04-14 04:09:28	161	train	0.0030	1.0000	|	test	0.1522	0.9549
04-14 04:10:13	162	train	0.0030	1.0000	|	test	0.1524	0.9557
04-14 04:10:59	163	train	0.0030	1.0000	|	test	0.1518	0.9563
04-14 04:11:44	164	train	0.0029	1.0000	|	test	0.1512	0.9549
04-14 04:12:30	165	train	0.0030	1.0000	|	test	0.1527	0.9554
04-14 04:13:15	166	train	0.0028	1.0000	|	test	0.1514	0.9562
04-14 04:14:00	167	train	0.0028	1.0000	|	test	0.1537	0.9547
04-14 04:14:46	168	train	0.0030	1.0000	|	test	0.1504	0.9556
04-14 04:15:31	169	train	0.0027	1.0000	|	test	0.1523	0.9557
04-14 04:16:17	170	train	0.0029	1.0000	|	test	0.1494	0.9554
