04-13 22:42:50	##### arguments #####
04-13 22:42:50	dataset: cifar10
04-13 22:42:50	model_config: config/model/wrn-16-2.json
04-13 22:42:50	-- num_layer: 16
04-13 22:42:50	-- widening_factor: 2
04-13 22:42:50	run_config: config/run/std_train_stepLR.json
04-13 22:42:50	-- batch_size_train: 128
04-13 22:42:50	-- batch_size_eval: 256
04-13 22:42:50	-- num_epochs: 200
04-13 22:42:50	-- learning_rate: 0.1
04-13 22:42:50	-- learning_rate_scheduler: stepLR
04-13 22:42:50	-- learning_rate_steps: [60, 120, 160]
04-13 22:42:50	-- learning_rate_decay: 0.2
04-13 22:42:50	-- momentum: 0.9
04-13 22:42:50	-- weight_decay: 0.0005
04-13 22:42:50	-- dropout_rate: 0
04-13 22:42:50	device: cuda (1 GPUs)
04-13 22:42:50	output_path: results/cifar10/baselines/standard_stepLR/wrn-16-2
04-13 22:42:50	log_file: results/cifar10/baselines/standard_stepLR/wrn-16-2/std_train_wrn_log.txt

04-13 22:42:50	start loading datasets: cifar10
04-13 22:42:52	loaded 50000 dataset_train samples
04-13 22:42:52	loaded 10000 dataset_test samples
04-13 22:42:52	elapsed time: 0:00:01.182458

04-13 22:42:52	start initializing a model
04-13 22:42:52	end initializing a model
04-13 22:42:52	elapsed time:0:00:00.018421

04-13 22:42:52	start setting trainer configurations
04-13 22:42:55	end setting trainer configurations
04-13 22:42:55	elapsed time:0:00:03.819222

04-13 22:42:55	start training a model
04-13 22:42:55	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 22:43:11	001	train	1.2900	0.5291	|	test	1.1005	0.6201
04-13 22:43:25	002	train	0.8587	0.6971	|	test	0.9316	0.6640
04-13 22:43:39	003	train	0.7016	0.7565	|	test	0.8293	0.7199
04-13 22:43:53	004	train	0.6197	0.7850	|	test	0.8324	0.7286
04-13 22:44:09	005	train	0.5762	0.8034	|	test	0.7770	0.7347
04-13 22:44:25	006	train	0.5439	0.8135	|	test	0.6197	0.7866
04-13 22:44:41	007	train	0.5192	0.8211	|	test	0.5926	0.7954
04-13 22:44:56	008	train	0.4926	0.8307	|	test	0.6100	0.7951
04-13 22:45:11	009	train	0.4825	0.8340	|	test	0.7587	0.7512
04-13 22:45:25	010	train	0.4661	0.8403	|	test	0.6074	0.7968
04-13 22:45:39	011	train	0.4537	0.8452	|	test	0.6678	0.7719
04-13 22:45:53	012	train	0.4436	0.8480	|	test	0.4899	0.8303
04-13 22:46:09	013	train	0.4350	0.8513	|	test	0.9619	0.7262
04-13 22:46:25	014	train	0.4273	0.8523	|	test	0.5198	0.8237
04-13 22:46:40	015	train	0.4224	0.8546	|	test	0.5087	0.8266
04-13 22:46:54	016	train	0.4221	0.8547	|	test	0.5323	0.8203
04-13 22:47:08	017	train	0.4063	0.8615	|	test	0.6031	0.7983
04-13 22:47:22	018	train	0.4094	0.8593	|	test	0.6019	0.7999
04-13 22:47:36	019	train	0.3987	0.8625	|	test	0.6325	0.7920
04-13 22:47:50	020	train	0.4000	0.8634	|	test	0.5175	0.8280
04-13 22:48:04	021	train	0.3910	0.8657	|	test	0.5741	0.8079
04-13 22:48:18	022	train	0.3942	0.8633	|	test	0.5436	0.8191
04-13 22:48:33	023	train	0.3902	0.8657	|	test	0.5546	0.8177
04-13 22:48:46	024	train	0.3892	0.8668	|	test	0.5816	0.8036
04-13 22:49:00	025	train	0.3869	0.8677	|	test	0.5958	0.8018
04-13 22:49:15	026	train	0.3802	0.8688	|	test	0.5862	0.8036
04-13 22:49:28	027	train	0.3811	0.8698	|	test	0.7111	0.7716
04-13 22:49:42	028	train	0.3771	0.8695	|	test	0.7487	0.7529
04-13 22:49:56	029	train	0.3777	0.8708	|	test	0.5172	0.8294
04-13 22:50:10	030	train	0.3739	0.8727	|	test	0.5422	0.8239
04-13 22:50:23	031	train	0.3744	0.8706	|	test	0.5370	0.8208
04-13 22:50:37	032	train	0.3714	0.8718	|	test	0.8046	0.7546
04-13 22:50:51	033	train	0.3701	0.8747	|	test	0.5175	0.8302
04-13 22:51:04	034	train	0.3709	0.8734	|	test	0.4517	0.8469
04-13 22:51:18	035	train	0.3655	0.8748	|	test	0.4416	0.8499
04-13 22:51:32	036	train	0.3671	0.8743	|	test	0.4134	0.8562
04-13 22:51:46	037	train	0.3677	0.8739	|	test	0.5043	0.8303
04-13 22:51:59	038	train	0.3622	0.8759	|	test	0.4611	0.8464
04-13 22:52:14	039	train	0.3642	0.8743	|	test	0.5902	0.8003
04-13 22:52:28	040	train	0.3625	0.8758	|	test	0.4224	0.8615
04-13 22:52:41	041	train	0.3607	0.8768	|	test	0.5479	0.8167
04-13 22:52:55	042	train	0.3591	0.8754	|	test	0.6057	0.8040
04-13 22:53:09	043	train	0.3564	0.8769	|	test	0.4483	0.8436
04-13 22:53:23	044	train	0.3562	0.8776	|	test	0.4795	0.8412
04-13 22:53:37	045	train	0.3554	0.8770	|	test	0.5057	0.8361
04-13 22:53:50	046	train	0.3592	0.8777	|	test	0.5013	0.8320
04-13 22:54:04	047	train	0.3548	0.8782	|	test	0.5662	0.8168
04-13 22:54:19	048	train	0.3552	0.8793	|	test	0.4316	0.8545
04-13 22:54:33	049	train	0.3495	0.8804	|	test	0.4683	0.8478
04-13 22:54:47	050	train	0.3535	0.8770	|	test	0.5669	0.8206
04-13 22:55:01	051	train	0.3519	0.8794	|	test	0.5240	0.8233
04-13 22:55:15	052	train	0.3546	0.8779	|	test	0.4588	0.8436
04-13 22:55:29	053	train	0.3507	0.8814	|	test	0.4702	0.8419
04-13 22:55:42	054	train	0.3458	0.8823	|	test	0.4410	0.8523
04-13 22:55:57	055	train	0.3490	0.8792	|	test	0.4658	0.8455
04-13 22:56:10	056	train	0.3520	0.8800	|	test	0.4809	0.8377
04-13 22:56:24	057	train	0.3455	0.8806	|	test	0.5517	0.8254
04-13 22:56:37	058	train	0.3454	0.8806	|	test	0.3968	0.8663
04-13 22:56:51	059	train	0.3465	0.8803	|	test	0.4486	0.8432
04-13 22:57:04	060	train	0.3449	0.8811	|	test	0.5388	0.8224
04-13 22:57:18	061	train	0.2105	0.9296	|	test	0.2508	0.9144
04-13 22:57:32	062	train	0.1678	0.9437	|	test	0.2451	0.9194
04-13 22:57:46	063	train	0.1556	0.9472	|	test	0.2419	0.9216
04-13 22:57:59	064	train	0.1474	0.9500	|	test	0.2554	0.9164
04-13 22:58:13	065	train	0.1380	0.9531	|	test	0.2522	0.9175
04-13 22:58:26	066	train	0.1317	0.9558	|	test	0.2686	0.9145
04-13 22:58:40	067	train	0.1314	0.9558	|	test	0.2773	0.9107
04-13 22:58:54	068	train	0.1312	0.9548	|	test	0.2846	0.9093
04-13 22:59:08	069	train	0.1309	0.9553	|	test	0.2748	0.9117
