04-14 03:40:01	##### arguments #####
04-14 03:40:01	dataset: cifar100
04-14 03:40:01	model_config: config/model/wrn-40-1.json
04-14 03:40:01	-- num_layer: 40
04-14 03:40:01	-- widening_factor: 1
04-14 03:40:01	run_config: config/run/std_train_stepLR.json
04-14 03:40:01	-- batch_size_train: 128
04-14 03:40:01	-- batch_size_eval: 256
04-14 03:40:01	-- num_epochs: 200
04-14 03:40:01	-- learning_rate: 0.1
04-14 03:40:01	-- learning_rate_scheduler: stepLR
04-14 03:40:01	-- learning_rate_steps: [60, 120, 160]
04-14 03:40:01	-- learning_rate_decay: 0.2
04-14 03:40:01	-- momentum: 0.9
04-14 03:40:01	-- weight_decay: 0.0005
04-14 03:40:01	-- dropout_rate: 0
04-14 03:40:01	device: cuda (1 GPUs)
04-14 03:40:01	output_path: results/cifar100/baselines/standard_stepLR/wrn-40-1
04-14 03:40:01	log_file: results/cifar100/baselines/standard_stepLR/wrn-40-1/std_train_wrn_log.txt

04-14 03:40:01	start loading datasets: cifar100
04-14 03:40:02	loaded 50000 dataset_train samples
04-14 03:40:02	loaded 10000 dataset_test samples
04-14 03:40:02	elapsed time: 0:00:01.457380

04-14 03:40:02	start initializing a model
04-14 03:40:02	end initializing a model
04-14 03:40:02	elapsed time:0:00:00.024076

04-14 03:40:02	start setting trainer configurations
04-14 03:40:06	end setting trainer configurations
04-14 03:40:06	elapsed time:0:00:04.025748

04-14 03:40:06	start training a model
04-14 03:40:06	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 03:40:22	001	train	4.1704	0.0522	|	test	3.9357	0.0745
04-14 03:40:38	002	train	3.6406	0.1225	|	test	3.5632	0.1373
04-14 03:40:54	003	train	3.2062	0.1943	|	test	3.0737	0.2245
04-14 03:41:09	004	train	2.8271	0.2704	|	test	2.7742	0.2790
04-14 03:41:25	005	train	2.5303	0.3291	|	test	2.7941	0.2850
04-14 03:41:41	006	train	2.3180	0.3766	|	test	2.6610	0.3218
04-14 03:41:57	007	train	2.1744	0.4101	|	test	2.4180	0.3692
04-14 03:42:13	008	train	2.0637	0.4391	|	test	2.0997	0.4351
04-14 03:42:29	009	train	1.9894	0.4577	|	test	2.0960	0.4327
04-14 03:42:45	010	train	1.9264	0.4703	|	test	2.5015	0.3737
04-14 03:43:01	011	train	1.8728	0.4847	|	test	2.0702	0.4383
04-14 03:43:16	012	train	1.8294	0.4950	|	test	2.3440	0.4013
04-14 03:43:32	013	train	1.7946	0.5036	|	test	2.1719	0.4343
04-14 03:43:48	014	train	1.7661	0.5110	|	test	2.0152	0.4602
04-14 03:44:04	015	train	1.7406	0.5165	|	test	2.1363	0.4365
04-14 03:44:19	016	train	1.7221	0.5218	|	test	2.4365	0.3825
04-14 03:44:35	017	train	1.6984	0.5271	|	test	2.0011	0.4703
04-14 03:44:51	018	train	1.6829	0.5313	|	test	1.9004	0.4872
04-14 03:45:06	019	train	1.6612	0.5350	|	test	2.0371	0.4660
04-14 03:45:22	020	train	1.6534	0.5393	|	test	2.1433	0.4347
04-14 03:45:37	021	train	1.6372	0.5431	|	test	1.8799	0.4851
04-14 03:45:53	022	train	1.6247	0.5444	|	test	1.9801	0.4701
04-14 03:46:08	023	train	1.6176	0.5480	|	test	2.0348	0.4632
04-14 03:46:24	024	train	1.6010	0.5509	|	test	2.1318	0.4494
04-14 03:46:39	025	train	1.5885	0.5519	|	test	2.0592	0.4547
04-14 03:46:55	026	train	1.5852	0.5561	|	test	2.3186	0.4203
04-14 03:47:11	027	train	1.5805	0.5560	|	test	1.9567	0.4821
04-14 03:47:26	028	train	1.5689	0.5614	|	test	2.2159	0.4382
04-14 03:47:42	029	train	1.5632	0.5612	|	test	1.9327	0.4871
04-14 03:47:58	030	train	1.5583	0.5614	|	test	1.9220	0.4878
04-14 03:48:13	031	train	1.5514	0.5633	|	test	1.9901	0.4735
04-14 03:48:29	032	train	1.5423	0.5660	|	test	2.1516	0.4563
04-14 03:48:45	033	train	1.5425	0.5667	|	test	1.7592	0.5169
04-14 03:49:02	034	train	1.5317	0.5713	|	test	2.1438	0.4493
04-14 03:49:19	035	train	1.5370	0.5699	|	test	1.9082	0.4866
04-14 03:49:35	036	train	1.5269	0.5716	|	test	1.8712	0.4988
04-14 03:49:52	037	train	1.5244	0.5735	|	test	2.0051	0.4764
04-14 03:50:09	038	train	1.5261	0.5693	|	test	2.0160	0.4780
04-14 03:50:25	039	train	1.5183	0.5750	|	test	2.0009	0.4737
04-14 03:50:41	040	train	1.5095	0.5733	|	test	1.7744	0.5244
04-14 03:50:57	041	train	1.5005	0.5750	|	test	1.9496	0.4878
04-14 03:51:13	042	train	1.5015	0.5769	|	test	1.6930	0.5363
04-14 03:51:29	043	train	1.5030	0.5766	|	test	1.8116	0.5177
04-14 03:51:44	044	train	1.5013	0.5775	|	test	1.9883	0.4844
04-14 03:52:00	045	train	1.4944	0.5794	|	test	2.0826	0.4592
04-14 03:52:16	046	train	1.4925	0.5796	|	test	1.7028	0.5344
04-14 03:52:32	047	train	1.4940	0.5816	|	test	1.7895	0.5119
04-14 03:52:48	048	train	1.4812	0.5808	|	test	1.8271	0.5029
04-14 03:53:04	049	train	1.4803	0.5828	|	test	1.8050	0.5094
04-14 03:53:20	050	train	1.4782	0.5823	|	test	1.7744	0.5165
04-14 03:53:35	051	train	1.4753	0.5840	|	test	1.9963	0.4817
04-14 03:53:52	052	train	1.4803	0.5797	|	test	1.9372	0.4899
04-14 03:54:07	053	train	1.4761	0.5846	|	test	1.7783	0.5171
04-14 03:54:23	054	train	1.4758	0.5857	|	test	2.2278	0.4362
04-14 03:54:39	055	train	1.4732	0.5842	|	test	1.7144	0.5296
04-14 03:54:55	056	train	1.4603	0.5865	|	test	1.8288	0.5070
04-14 03:55:11	057	train	1.4719	0.5856	|	test	1.7443	0.5271
04-14 03:55:27	058	train	1.4615	0.5889	|	test	1.7204	0.5293
04-14 03:55:42	059	train	1.4684	0.5872	|	test	1.9174	0.4906
04-14 03:55:58	060	train	1.4688	0.5881	|	test	1.8404	0.5101
04-14 03:56:14	061	train	1.0892	0.6884	|	test	1.1884	0.6597
04-14 03:56:30	062	train	0.9786	0.7147	|	test	1.1662	0.6640
04-14 03:56:45	063	train	0.9393	0.7260	|	test	1.1791	0.6643
04-14 03:57:01	064	train	0.9117	0.7319	|	test	1.1874	0.6605
04-14 03:57:17	065	train	0.9012	0.7329	|	test	1.1824	0.6641
04-14 03:57:33	066	train	0.8792	0.7394	|	test	1.2464	0.6510
04-14 03:57:48	067	train	0.8661	0.7467	|	test	1.2493	0.6530
04-14 03:58:04	068	train	0.8738	0.7419	|	test	1.2514	0.6491
04-14 03:58:20	069	train	0.8643	0.7435	|	test	1.2136	0.6592
04-14 03:58:36	070	train	0.8630	0.7434	|	test	1.3040	0.6377
04-14 03:58:52	071	train	0.8631	0.7422	|	test	1.2693	0.6450
04-14 03:59:07	072	train	0.8642	0.7433	|	test	1.3264	0.6355
04-14 03:59:23	073	train	0.8596	0.7420	|	test	1.2989	0.6412
04-14 03:59:39	074	train	0.8578	0.7457	|	test	1.3173	0.6369
04-14 03:59:55	075	train	0.8626	0.7438	|	test	1.2932	0.6405
04-14 04:00:11	076	train	0.8645	0.7424	|	test	1.2720	0.6431
04-14 04:00:27	077	train	0.8526	0.7473	|	test	1.2959	0.6397
04-14 04:00:42	078	train	0.8607	0.7435	|	test	1.3287	0.6325
04-14 04:00:57	079	train	0.8486	0.7467	|	test	1.3062	0.6382
04-14 04:01:13	080	train	0.8514	0.7474	|	test	1.3285	0.6351
04-14 04:01:29	081	train	0.8518	0.7456	|	test	1.4082	0.6196
04-14 04:01:44	082	train	0.8544	0.7448	|	test	1.2915	0.6440
04-14 04:02:00	083	train	0.8476	0.7478	|	test	1.2955	0.6443
04-14 04:02:16	084	train	0.8517	0.7478	|	test	1.3012	0.6421
04-14 04:02:32	085	train	0.8445	0.7483	|	test	1.3003	0.6433
04-14 04:02:48	086	train	0.8404	0.7487	|	test	1.3817	0.6292
04-14 04:03:04	087	train	0.8388	0.7503	|	test	1.3461	0.6312
04-14 04:03:20	088	train	0.8346	0.7493	|	test	1.3065	0.6456
04-14 04:03:36	089	train	0.8389	0.7510	|	test	1.3567	0.6311
04-14 04:03:52	090	train	0.8309	0.7519	|	test	1.3057	0.6384
04-14 04:04:08	091	train	0.8364	0.7504	|	test	1.4363	0.6192
04-14 04:04:24	092	train	0.8283	0.7532	|	test	1.3616	0.6299
04-14 04:04:39	093	train	0.8269	0.7539	|	test	1.4115	0.6281
04-14 04:04:55	094	train	0.8198	0.7538	|	test	1.3449	0.6414
04-14 04:05:11	095	train	0.8214	0.7547	|	test	1.3180	0.6413
04-14 04:05:27	096	train	0.8278	0.7533	|	test	1.3256	0.6348
04-14 04:05:43	097	train	0.8232	0.7552	|	test	1.3585	0.6368
04-14 04:05:58	098	train	0.8183	0.7546	|	test	1.2814	0.6470
04-14 04:06:14	099	train	0.8179	0.7560	|	test	1.3314	0.6343
04-14 04:06:30	100	train	0.8152	0.7547	|	test	1.3395	0.6326
04-14 04:06:45	101	train	0.8146	0.7571	|	test	1.3781	0.6281
04-14 04:07:01	102	train	0.8128	0.7561	|	test	1.3213	0.6408
04-14 04:07:17	103	train	0.8103	0.7563	|	test	1.3708	0.6310
04-14 04:07:33	104	train	0.8073	0.7570	|	test	1.3992	0.6239
04-14 04:07:49	105	train	0.8029	0.7589	|	test	1.3252	0.6379
04-14 04:08:04	106	train	0.8029	0.7587	|	test	1.4251	0.6238
04-14 04:08:20	107	train	0.8060	0.7587	|	test	1.3540	0.6330
04-14 04:08:35	108	train	0.8038	0.7598	|	test	1.2928	0.6437
04-14 04:08:51	109	train	0.8034	0.7597	|	test	1.3238	0.6342
04-14 04:09:07	110	train	0.7953	0.7619	|	test	1.4100	0.6215
04-14 04:09:23	111	train	0.7990	0.7596	|	test	1.3613	0.6356
04-14 04:09:39	112	train	0.8014	0.7599	|	test	1.3173	0.6441
04-14 04:09:56	113	train	0.7915	0.7610	|	test	1.4811	0.6087
04-14 04:10:12	114	train	0.7961	0.7596	|	test	1.4159	0.6213
04-14 04:10:27	115	train	0.7944	0.7619	|	test	1.3743	0.6354
04-14 04:10:43	116	train	0.7874	0.7635	|	test	1.3034	0.6388
04-14 04:10:59	117	train	0.7916	0.7605	|	test	1.4667	0.6257
04-14 04:11:15	118	train	0.7915	0.7625	|	test	1.3061	0.6390
04-14 04:11:31	119	train	0.7882	0.7655	|	test	1.3701	0.6289
04-14 04:11:46	120	train	0.7846	0.7626	|	test	1.3702	0.6268
04-14 04:12:02	121	train	0.5724	0.8308	|	test	1.0739	0.6985
04-14 04:12:18	122	train	0.4991	0.8533	|	test	1.0817	0.6993
04-14 04:12:34	123	train	0.4682	0.8625	|	test	1.0738	0.7024
04-14 04:12:50	124	train	0.4511	0.8675	|	test	1.0926	0.7009
04-14 04:13:06	125	train	0.4388	0.8720	|	test	1.0959	0.6988
04-14 04:13:22	126	train	0.4261	0.8735	|	test	1.1012	0.7020
04-14 04:13:38	127	train	0.4169	0.8785	|	test	1.1102	0.7016
04-14 04:13:53	128	train	0.4096	0.8796	|	test	1.1096	0.7026
04-14 04:14:09	129	train	0.3996	0.8824	|	test	1.1213	0.6965
04-14 04:14:25	130	train	0.3946	0.8831	|	test	1.1164	0.7033
04-14 04:14:41	131	train	0.3871	0.8867	|	test	1.1307	0.7001
04-14 04:14:57	132	train	0.3835	0.8869	|	test	1.1365	0.6998
04-14 04:15:13	133	train	0.3786	0.8894	|	test	1.1473	0.7001
04-14 04:15:28	134	train	0.3738	0.8897	|	test	1.1536	0.6965
04-14 04:15:44	135	train	0.3700	0.8913	|	test	1.1627	0.6977
04-14 04:16:00	136	train	0.3644	0.8930	|	test	1.1571	0.6955
04-14 04:16:15	137	train	0.3648	0.8923	|	test	1.1749	0.6973
04-14 04:16:32	138	train	0.3611	0.8936	|	test	1.1942	0.6954
04-14 04:16:47	139	train	0.3597	0.8931	|	test	1.1636	0.6992
04-14 04:17:03	140	train	0.3556	0.8952	|	test	1.1698	0.6930
04-14 04:17:19	141	train	0.3526	0.8970	|	test	1.1877	0.6925
04-14 04:17:35	142	train	0.3506	0.8972	|	test	1.1881	0.6955
04-14 04:17:51	143	train	0.3500	0.8962	|	test	1.2132	0.6885
04-14 04:18:07	144	train	0.3483	0.8983	|	test	1.1842	0.6900
04-14 04:18:23	145	train	0.3447	0.8984	|	test	1.2067	0.6848
04-14 04:18:39	146	train	0.3412	0.8986	|	test	1.2023	0.6933
04-14 04:18:55	147	train	0.3411	0.8979	|	test	1.2098	0.6892
04-14 04:19:11	148	train	0.3405	0.8992	|	test	1.2169	0.6873
04-14 04:19:27	149	train	0.3442	0.8986	|	test	1.2466	0.6859
04-14 04:19:42	150	train	0.3358	0.9007	|	test	1.2177	0.6906
04-14 04:19:58	151	train	0.3347	0.9007	|	test	1.2401	0.6844
04-14 04:20:14	152	train	0.3421	0.8969	|	test	1.2456	0.6865
04-14 04:20:30	153	train	0.3348	0.9002	|	test	1.2290	0.6876
04-14 04:20:45	154	train	0.3400	0.8985	|	test	1.2336	0.6860
04-14 04:21:01	155	train	0.3366	0.8995	|	test	1.2405	0.6880
04-14 04:21:16	156	train	0.3342	0.9006	|	test	1.2550	0.6884
04-14 04:21:32	157	train	0.3379	0.8989	|	test	1.2369	0.6927
04-14 04:21:48	158	train	0.3355	0.9005	|	test	1.2723	0.6831
04-14 04:22:04	159	train	0.3368	0.8994	|	test	1.2544	0.6850
04-14 04:22:20	160	train	0.3353	0.8997	|	test	1.2749	0.6796
04-14 04:22:37	161	train	0.2629	0.9270	|	test	1.1835	0.6982
04-14 04:22:54	162	train	0.2412	0.9349	|	test	1.1833	0.7002
04-14 04:23:11	163	train	0.2357	0.9357	|	test	1.1865	0.6972
04-14 04:23:27	164	train	0.2293	0.9394	|	test	1.1883	0.7000
04-14 04:23:44	165	train	0.2249	0.9403	|	test	1.1914	0.7000
04-14 04:23:59	166	train	0.2208	0.9425	|	test	1.1968	0.6995
04-14 04:24:16	167	train	0.2206	0.9419	|	test	1.1977	0.6964
04-14 04:24:32	168	train	0.2168	0.9426	|	test	1.2105	0.6949
04-14 04:24:47	169	train	0.2103	0.9457	|	test	1.2021	0.6985
04-14 04:25:03	170	train	0.2117	0.9454	|	test	1.2110	0.6956
04-14 04:25:19	171	train	0.2124	0.9454	|	test	1.2131	0.6972
04-14 04:25:35	172	train	0.2078	0.9460	|	test	1.2171	0.7001
04-14 04:25:51	173	train	0.2077	0.9461	|	test	1.2159	0.6974
04-14 04:26:06	174	train	0.2039	0.9487	|	test	1.2098	0.6987
04-14 04:26:22	175	train	0.2038	0.9475	|	test	1.2243	0.6981
04-14 04:26:37	176	train	0.2005	0.9487	|	test	1.2265	0.6977
04-14 04:26:53	177	train	0.1996	0.9493	|	test	1.2281	0.6970
04-14 04:27:10	178	train	0.1986	0.9493	|	test	1.2269	0.6996
04-14 04:27:26	179	train	0.1985	0.9494	|	test	1.2339	0.6972
04-14 04:27:43	180	train	0.1960	0.9492	|	test	1.2372	0.6949
04-14 04:27:59	181	train	0.1964	0.9494	|	test	1.2290	0.6991
04-14 04:28:14	182	train	0.1979	0.9484	|	test	1.2275	0.6962
04-14 04:28:30	183	train	0.1913	0.9529	|	test	1.2422	0.6964
04-14 04:28:46	184	train	0.1922	0.9519	|	test	1.2338	0.6960
04-14 04:29:01	185	train	0.1940	0.9503	|	test	1.2351	0.6960
04-14 04:29:17	186	train	0.1918	0.9509	|	test	1.2296	0.6982
04-14 04:29:33	187	train	0.1870	0.9536	|	test	1.2406	0.6982
04-14 04:29:49	188	train	0.1867	0.9528	|	test	1.2444	0.6959
04-14 04:30:05	189	train	0.1851	0.9524	|	test	1.2377	0.6951
04-14 04:30:20	190	train	0.1839	0.9548	|	test	1.2530	0.6944
04-14 04:30:36	191	train	0.1873	0.9525	|	test	1.2394	0.6965
04-14 04:30:52	192	train	0.1868	0.9536	|	test	1.2451	0.6961
04-14 04:31:08	193	train	0.1834	0.9538	|	test	1.2552	0.6926
04-14 04:31:23	194	train	0.1812	0.9544	|	test	1.2495	0.6939
04-14 04:31:39	195	train	0.1811	0.9546	|	test	1.2570	0.6938
