04-13 23:57:16	##### arguments #####
04-13 23:57:16	dataset: cifar10
04-13 23:57:16	model_config: config/model/wrn-16-4.json
04-13 23:57:16	-- num_layer: 16
04-13 23:57:16	-- widening_factor: 4
04-13 23:57:16	run_config: config/run/std_train_stepLR.json
04-13 23:57:16	-- batch_size_train: 128
04-13 23:57:16	-- batch_size_eval: 256
04-13 23:57:16	-- num_epochs: 200
04-13 23:57:16	-- learning_rate: 0.1
04-13 23:57:16	-- learning_rate_scheduler: stepLR
04-13 23:57:16	-- learning_rate_steps: [60, 120, 160]
04-13 23:57:16	-- learning_rate_decay: 0.2
04-13 23:57:16	-- momentum: 0.9
04-13 23:57:16	-- weight_decay: 0.0005
04-13 23:57:16	-- dropout_rate: 0
04-13 23:57:16	device: cuda (1 GPUs)
04-13 23:57:16	output_path: results/cifar10/baselines/standard_stepLR/wrn-16-4
04-13 23:57:16	log_file: results/cifar10/baselines/standard_stepLR/wrn-16-4/std_train_wrn_log.txt

04-13 23:57:16	start loading datasets: cifar10
04-13 23:57:17	loaded 50000 dataset_train samples
04-13 23:57:17	loaded 10000 dataset_test samples
04-13 23:57:17	elapsed time: 0:00:01.183056

04-13 23:57:17	start initializing a model
04-13 23:57:17	end initializing a model
04-13 23:57:17	elapsed time:0:00:00.046700

04-13 23:57:17	start setting trainer configurations
04-13 23:57:21	end setting trainer configurations
04-13 23:57:21	elapsed time:0:00:03.857811

04-13 23:57:21	start training a model
04-13 23:57:21	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 00:13:57	062	train	0.1092	0.9642	|	test	0.1973	0.9325
04-14 00:14:13	063	train	0.0925	0.9702	|	test	0.2023	0.9320
04-14 00:14:29	064	train	0.0835	0.9727	|	test	0.2077	0.9333
04-14 00:14:45	065	train	0.0754	0.9764	|	test	0.2111	0.9320
04-14 00:15:01	066	train	0.0688	0.9786	|	test	0.2354	0.9262
04-14 00:15:17	067	train	0.0650	0.9790	|	test	0.2149	0.9373
04-14 00:15:33	068	train	0.0629	0.9807	|	test	0.2282	0.9309
04-14 00:15:49	069	train	0.0638	0.9790	|	test	0.2296	0.9308
04-14 00:16:05	070	train	0.0633	0.9797	|	test	0.2200	0.9336
04-14 00:16:21	071	train	0.0658	0.9786	|	test	0.2340	0.9305
04-14 00:16:37	072	train	0.0677	0.9784	|	test	0.2420	0.9272
04-14 00:16:53	073	train	0.0674	0.9786	|	test	0.2674	0.9190
04-14 00:17:09	074	train	0.0717	0.9767	|	test	0.2600	0.9213
04-14 00:17:24	075	train	0.0715	0.9762	|	test	0.2540	0.9216
04-14 00:17:40	076	train	0.0742	0.9756	|	test	0.2573	0.9216
04-14 00:17:56	077	train	0.0767	0.9750	|	test	0.2665	0.9198
04-14 00:18:12	078	train	0.0765	0.9744	|	test	0.2866	0.9151
04-14 00:18:28	079	train	0.0839	0.9730	|	test	0.2680	0.9194
04-14 00:18:44	080	train	0.0767	0.9755	|	test	0.2726	0.9154
04-14 00:19:01	081	train	0.0776	0.9745	|	test	0.2669	0.9198
04-14 00:19:16	082	train	0.0798	0.9738	|	test	0.2757	0.9176
04-14 00:19:32	083	train	0.0755	0.9755	|	test	0.2868	0.9136
04-14 00:19:48	084	train	0.0780	0.9754	|	test	0.2939	0.9116
04-14 00:20:04	085	train	0.0809	0.9737	|	test	0.2641	0.9201
04-14 00:20:20	086	train	0.0823	0.9727	|	test	0.3207	0.9093
04-14 00:20:36	087	train	0.0802	0.9743	|	test	0.2566	0.9204
04-14 00:20:52	088	train	0.0744	0.9760	|	test	0.2952	0.9145
04-14 00:21:08	089	train	0.0792	0.9738	|	test	0.2639	0.9197
04-14 00:21:24	090	train	0.0809	0.9723	|	test	0.3041	0.9098
04-14 00:21:40	091	train	0.0788	0.9738	|	test	0.2846	0.9171
04-14 00:21:56	092	train	0.0773	0.9750	|	test	0.2837	0.9149
04-14 00:22:11	093	train	0.0759	0.9752	|	test	0.3050	0.9090
04-14 00:22:27	094	train	0.0780	0.9749	|	test	0.2991	0.9082
04-14 00:22:44	095	train	0.0816	0.9736	|	test	0.2575	0.9177
04-14 00:23:00	096	train	0.0772	0.9750	|	test	0.2706	0.9166
04-14 00:23:16	097	train	0.0803	0.9734	|	test	0.2798	0.9154
04-14 00:23:32	098	train	0.0796	0.9738	|	test	0.2984	0.9108
04-14 00:23:48	099	train	0.0770	0.9748	|	test	0.2957	0.9153
04-14 00:24:04	100	train	0.0737	0.9762	|	test	0.2883	0.9126
04-14 00:24:20	101	train	0.0754	0.9749	|	test	0.2618	0.9210
04-14 00:24:36	102	train	0.0758	0.9749	|	test	0.2720	0.9195
04-14 00:24:52	103	train	0.0746	0.9760	|	test	0.3484	0.9007
04-14 00:25:08	104	train	0.0761	0.9751	|	test	0.3113	0.9100
04-14 00:25:24	105	train	0.0743	0.9766	|	test	0.2690	0.9190
04-14 00:25:40	106	train	0.0714	0.9774	|	test	0.2966	0.9145
04-14 00:25:56	107	train	0.0765	0.9756	|	test	0.2950	0.9128
04-14 00:26:12	108	train	0.0727	0.9762	|	test	0.2607	0.9219
04-14 00:26:28	109	train	0.0689	0.9776	|	test	0.3310	0.9038
04-14 00:26:44	110	train	0.0794	0.9742	|	test	0.2985	0.9109
04-14 00:27:01	111	train	0.0708	0.9770	|	test	0.3239	0.9071
04-14 00:27:18	112	train	0.0791	0.9738	|	test	0.2972	0.9117
04-14 00:27:34	113	train	0.0742	0.9763	|	test	0.2818	0.9159
04-14 00:27:50	114	train	0.0669	0.9782	|	test	0.3112	0.9130
04-14 00:28:06	115	train	0.0735	0.9760	|	test	0.2835	0.9157
04-14 00:28:22	116	train	0.0752	0.9751	|	test	0.2859	0.9187
04-14 00:28:38	117	train	0.0749	0.9758	|	test	0.3207	0.9063
04-14 00:28:55	118	train	0.0726	0.9766	|	test	0.2611	0.9226
04-14 00:29:11	119	train	0.0644	0.9798	|	test	0.3164	0.9063
04-14 00:29:27	120	train	0.0768	0.9750	|	test	0.2903	0.9132
04-14 00:29:43	121	train	0.0338	0.9910	|	test	0.1853	0.9425
04-14 00:30:00	122	train	0.0186	0.9962	|	test	0.1860	0.9437
04-14 00:30:16	123	train	0.0153	0.9973	|	test	0.1798	0.9456
04-14 00:30:32	124	train	0.0129	0.9979	|	test	0.1849	0.9445
04-14 00:30:48	125	train	0.0116	0.9980	|	test	0.1832	0.9446
04-14 00:31:04	126	train	0.0098	0.9990	|	test	0.1818	0.9454
04-14 00:31:20	127	train	0.0091	0.9989	|	test	0.1841	0.9452
04-14 00:31:36	128	train	0.0084	0.9991	|	test	0.1825	0.9456
04-14 00:31:52	129	train	0.0086	0.9991	|	test	0.1818	0.9476
04-14 00:32:08	130	train	0.0077	0.9992	|	test	0.1828	0.9467
04-14 00:32:24	131	train	0.0074	0.9994	|	test	0.1806	0.9468
04-14 00:32:40	132	train	0.0074	0.9993	|	test	0.1816	0.9475
04-14 00:32:56	133	train	0.0069	0.9995	|	test	0.1801	0.9481
04-14 00:33:12	134	train	0.0069	0.9993	|	test	0.1812	0.9472
04-14 00:33:28	135	train	0.0064	0.9995	|	test	0.1844	0.9473
04-14 00:33:44	136	train	0.0062	0.9995	|	test	0.1824	0.9464
04-14 00:34:00	137	train	0.0063	0.9995	|	test	0.1811	0.9481
04-14 00:34:16	138	train	0.0060	0.9996	|	test	0.1818	0.9481
04-14 00:34:32	139	train	0.0062	0.9995	|	test	0.1825	0.9494
04-14 00:34:48	140	train	0.0057	0.9997	|	test	0.1854	0.9469
04-14 00:35:05	141	train	0.0061	0.9994	|	test	0.1806	0.9486
04-14 00:35:21	142	train	0.0054	0.9999	|	test	0.1785	0.9487
04-14 00:35:37	143	train	0.0055	0.9996	|	test	0.1789	0.9493
04-14 00:35:53	144	train	0.0054	0.9997	|	test	0.1753	0.9487
04-14 00:36:09	145	train	0.0054	0.9998	|	test	0.1781	0.9493
04-14 00:36:25	146	train	0.0056	0.9995	|	test	0.1790	0.9481
04-14 00:36:41	147	train	0.0056	0.9996	|	test	0.1789	0.9477
04-14 00:36:57	148	train	0.0055	0.9997	|	test	0.1796	0.9489
04-14 00:37:14	149	train	0.0052	0.9998	|	test	0.1757	0.9488
04-14 00:37:30	150	train	0.0051	0.9998	|	test	0.1776	0.9479
04-14 00:37:46	151	train	0.0051	0.9998	|	test	0.1794	0.9494
04-14 00:38:02	152	train	0.0049	0.9999	|	test	0.1784	0.9485
04-14 00:38:18	153	train	0.0051	0.9998	|	test	0.1791	0.9480
04-14 00:38:34	154	train	0.0049	0.9999	|	test	0.1779	0.9491
04-14 00:38:50	155	train	0.0052	0.9997	|	test	0.1773	0.9489
04-14 00:39:06	156	train	0.0049	0.9998	|	test	0.1795	0.9479
04-14 00:39:22	157	train	0.0048	0.9998	|	test	0.1793	0.9489
04-14 00:39:38	158	train	0.0046	0.9998	|	test	0.1769	0.9475
04-14 00:39:54	159	train	0.0049	0.9998	|	test	0.1804	0.9493
04-14 00:40:10	160	train	0.0046	0.9999	|	test	0.1815	0.9485
04-14 00:40:26	161	train	0.0044	0.9999	|	test	0.1782	0.9486
04-14 00:40:42	162	train	0.0044	0.9999	|	test	0.1770	0.9487
04-14 00:40:58	163	train	0.0044	0.9999	|	test	0.1748	0.9488
04-14 00:41:14	164	train	0.0042	0.9999	|	test	0.1759	0.9499
04-14 00:41:30	165	train	0.0043	0.9998	|	test	0.1757	0.9492
04-14 00:41:46	166	train	0.0042	1.0000	|	test	0.1778	0.9484
04-14 00:42:02	167	train	0.0044	0.9998	|	test	0.1757	0.9486
04-14 00:42:18	168	train	0.0043	0.9999	|	test	0.1745	0.9497
04-14 00:42:34	169	train	0.0042	0.9998	|	test	0.1770	0.9491
04-14 00:42:51	170	train	0.0042	0.9999	|	test	0.1759	0.9497
04-14 00:43:07	171	train	0.0040	0.9999	|	test	0.1750	0.9494
04-14 00:43:23	172	train	0.0043	0.9998	|	test	0.1752	0.9492
04-14 00:43:40	173	train	0.0043	0.9998	|	test	0.1761	0.9493
04-14 00:43:57	174	train	0.0041	1.0000	|	test	0.1757	0.9484
04-14 00:44:14	175	train	0.0043	1.0000	|	test	0.1744	0.9492
04-14 00:44:31	176	train	0.0043	0.9998	|	test	0.1748	0.9498
04-14 00:44:47	177	train	0.0040	1.0000	|	test	0.1751	0.9496
04-14 00:45:03	178	train	0.0040	1.0000	|	test	0.1749	0.9496
04-14 00:45:19	179	train	0.0040	0.9999	|	test	0.1759	0.9497
04-14 00:45:35	180	train	0.0040	1.0000	|	test	0.1756	0.9495
04-14 00:45:52	181	train	0.0039	1.0000	|	test	0.1761	0.9486
04-14 00:46:07	182	train	0.0039	0.9999	|	test	0.1760	0.9489
04-14 00:46:23	183	train	0.0040	1.0000	|	test	0.1742	0.9495
04-14 00:46:40	184	train	0.0039	0.9999	|	test	0.1764	0.9488
04-14 00:46:56	185	train	0.0042	0.9999	|	test	0.1756	0.9482
04-14 00:47:12	186	train	0.0040	1.0000	|	test	0.1770	0.9487
04-14 00:47:28	187	train	0.0040	0.9999	|	test	0.1753	0.9488
04-14 00:47:44	188	train	0.0040	0.9999	|	test	0.1761	0.9488
04-14 00:48:00	189	train	0.0039	1.0000	|	test	0.1750	0.9498
04-14 00:48:16	190	train	0.0041	0.9999	|	test	0.1754	0.9489
04-14 00:48:32	191	train	0.0040	0.9999	|	test	0.1759	0.9486
04-14 00:48:48	192	train	0.0041	0.9999	|	test	0.1756	0.9495
04-14 00:49:04	193	train	0.0040	0.9999	|	test	0.1752	0.9497
04-14 00:49:20	194	train	0.0040	0.9999	|	test	0.1748	0.9486
04-14 00:49:36	195	train	0.0039	1.0000	|	test	0.1775	0.9490
04-14 00:49:53	196	train	0.0039	1.0000	|	test	0.1749	0.9500
04-14 00:50:09	197	train	0.0039	0.9999	|	test	0.1746	0.9490
04-14 00:50:25	198	train	0.0040	1.0000	|	test	0.1757	0.9486
04-14 00:50:41	199	train	0.0041	0.9999	|	test	0.1760	0.9493
04-14 00:50:57	200	train	0.0039	0.9999	|	test	0.1738	0.9488
04-14 00:50:57	end training a model
04-14 00:50:57	elapsed time:0:53:36.422704

