04-13 23:57:16	##### arguments #####
04-13 23:57:16	dataset: cifar10
04-13 23:57:16	model_config: config/model/wrn-16-4.json
04-13 23:57:16	-- num_layer: 16
04-13 23:57:16	-- widening_factor: 4
04-13 23:57:16	run_config: config/run/std_train_stepLR.json
04-13 23:57:16	-- batch_size_train: 128
04-13 23:57:16	-- batch_size_eval: 256
04-13 23:57:16	-- num_epochs: 200
04-13 23:57:16	-- learning_rate: 0.1
04-13 23:57:16	-- learning_rate_scheduler: stepLR
04-13 23:57:16	-- learning_rate_steps: [60, 120, 160]
04-13 23:57:16	-- learning_rate_decay: 0.2
04-13 23:57:16	-- momentum: 0.9
04-13 23:57:16	-- weight_decay: 0.0005
04-13 23:57:16	-- dropout_rate: 0
04-13 23:57:16	device: cuda (1 GPUs)
04-13 23:57:16	output_path: results/cifar10/baselines/standard_stepLR/wrn-16-4
04-13 23:57:16	log_file: results/cifar10/baselines/standard_stepLR/wrn-16-4/std_train_wrn_log.txt

04-13 23:57:16	start loading datasets: cifar10
04-13 23:57:17	loaded 50000 dataset_train samples
04-13 23:57:17	loaded 10000 dataset_test samples
04-13 23:57:17	elapsed time: 0:00:01.183056

04-13 23:57:17	start initializing a model
04-13 23:57:17	end initializing a model
04-13 23:57:17	elapsed time:0:00:00.046700

04-13 23:57:17	start setting trainer configurations
04-13 23:57:21	end setting trainer configurations
04-13 23:57:21	elapsed time:0:00:03.857811

04-13 23:57:21	start training a model
04-13 23:57:21	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 23:57:37	001	train	1.2315	0.5533	|	test	1.1053	0.6282
04-13 23:57:53	002	train	0.7797	0.7255	|	test	0.6850	0.7607
04-13 23:58:09	003	train	0.6287	0.7820	|	test	0.6795	0.7623
04-13 23:58:25	004	train	0.5518	0.8109	|	test	1.2827	0.6467
04-13 23:58:41	005	train	0.5046	0.8272	|	test	0.5185	0.8216
04-13 23:58:57	006	train	0.4678	0.8399	|	test	0.6411	0.7856
04-13 23:59:13	007	train	0.4450	0.8460	|	test	0.4742	0.8406
04-13 23:59:29	008	train	0.4267	0.8540	|	test	0.6080	0.7991
04-13 23:59:44	009	train	0.4108	0.8584	|	test	0.6769	0.7864
04-14 00:00:00	010	train	0.3940	0.8653	|	test	0.5597	0.8112
04-14 00:00:16	011	train	0.3823	0.8686	|	test	0.4271	0.8553
04-14 00:00:33	012	train	0.3722	0.8725	|	test	0.5582	0.8178
04-14 00:00:49	013	train	0.3652	0.8746	|	test	0.4937	0.8379
04-14 00:01:04	014	train	0.3609	0.8771	|	test	0.5126	0.8308
04-14 00:01:20	015	train	0.3579	0.8774	|	test	0.4446	0.8478
04-14 00:01:36	016	train	0.3434	0.8820	|	test	0.5140	0.8301
04-14 00:01:52	017	train	0.3429	0.8826	|	test	0.4271	0.8551
04-14 00:02:08	018	train	0.3405	0.8836	|	test	0.4955	0.8361
04-14 00:02:24	019	train	0.3328	0.8870	|	test	0.4257	0.8578
04-14 00:02:40	020	train	0.3329	0.8858	|	test	0.5592	0.8228
04-14 00:02:56	021	train	0.3280	0.8884	|	test	0.4410	0.8522
04-14 00:03:12	022	train	0.3203	0.8905	|	test	0.4875	0.8389
04-14 00:03:28	023	train	0.3243	0.8886	|	test	0.5123	0.8325
04-14 00:03:44	024	train	0.3203	0.8902	|	test	0.5614	0.8117
04-14 00:04:00	025	train	0.3170	0.8905	|	test	0.4436	0.8498
04-14 00:04:15	026	train	0.3136	0.8931	|	test	0.6149	0.8068
04-14 00:04:32	027	train	0.3140	0.8926	|	test	0.4812	0.8492
04-14 00:04:48	028	train	0.3094	0.8945	|	test	0.5131	0.8328
04-14 00:05:04	029	train	0.3090	0.8956	|	test	0.5393	0.8233
04-14 00:05:19	030	train	0.3087	0.8941	|	test	0.4074	0.8625
04-14 00:05:36	031	train	0.3068	0.8953	|	test	0.3723	0.8708
04-14 00:05:52	032	train	0.3041	0.8960	|	test	0.4512	0.8521
04-14 00:06:08	033	train	0.3016	0.8968	|	test	0.3704	0.8749
04-14 00:06:25	034	train	0.2992	0.8963	|	test	0.4946	0.8380
04-14 00:06:42	035	train	0.3008	0.8975	|	test	0.5087	0.8351
04-14 00:06:58	036	train	0.3013	0.8971	|	test	0.4479	0.8518
04-14 00:07:15	037	train	0.2987	0.8973	|	test	0.5829	0.8207
04-14 00:07:31	038	train	0.2955	0.9007	|	test	0.5153	0.8392
04-14 00:07:47	039	train	0.2977	0.8983	|	test	0.4112	0.8630
04-14 00:08:03	040	train	0.2936	0.8995	|	test	0.4753	0.8414
04-14 00:08:20	041	train	0.2992	0.8974	|	test	0.6151	0.8096
04-14 00:08:35	042	train	0.2901	0.9018	|	test	0.3344	0.8865
04-14 00:08:51	043	train	0.2964	0.8985	|	test	0.4482	0.8542
04-14 00:09:07	044	train	0.2944	0.8999	|	test	0.5306	0.8224
04-14 00:09:23	045	train	0.2833	0.9037	|	test	0.6075	0.8131
04-14 00:09:39	046	train	0.2880	0.9016	|	test	0.4810	0.8447
04-14 00:09:55	047	train	0.2916	0.8997	|	test	0.5569	0.8210
04-14 00:10:11	048	train	0.2928	0.9004	|	test	0.4231	0.8621
04-14 00:10:28	049	train	0.2879	0.9018	|	test	0.4858	0.8443
04-14 00:10:44	050	train	0.2882	0.9018	|	test	0.3874	0.8723
04-14 00:11:00	051	train	0.2895	0.9005	|	test	0.3937	0.8713
04-14 00:11:16	052	train	0.2869	0.9018	|	test	0.4563	0.8468
04-14 00:11:32	053	train	0.2825	0.9034	|	test	0.5449	0.8316
04-14 00:11:48	054	train	0.2825	0.9037	|	test	0.3942	0.8710
04-14 00:12:05	055	train	0.2847	0.9016	|	test	0.4313	0.8593
04-14 00:12:21	056	train	0.2840	0.9023	|	test	0.4573	0.8458
04-14 00:12:37	057	train	0.2826	0.9030	|	test	0.4004	0.8650
04-14 00:12:53	058	train	0.2797	0.9047	|	test	0.4382	0.8569
04-14 00:13:09	059	train	0.2819	0.9048	|	test	0.4199	0.8620
04-14 00:13:25	060	train	0.2808	0.9048	|	test	0.5896	0.8237
04-14 00:13:41	061	train	0.1504	0.9509	|	test	0.2030	0.9298
