04-14 11:28:11	##### arguments #####
04-14 11:28:11	dataset: cifar100
04-14 11:28:11	model_config: config/model/wrn-16-2.json
04-14 11:28:11	-- num_layer: 16
04-14 11:28:11	-- widening_factor: 2
04-14 11:28:11	run_config: config/run/std_train.json
04-14 11:28:11	-- batch_size_train: 128
04-14 11:28:11	-- batch_size_eval: 256
04-14 11:28:11	-- num_epochs: 100
04-14 11:28:11	-- learning_rate: 0.1
04-14 11:28:11	-- learning_rate_scheduler: cyclicLR
04-14 11:28:11	-- momentum: 0.9
04-14 11:28:11	-- weight_decay: 0.0005
04-14 11:28:11	-- dropout_rate: 0
04-14 11:28:11	device: cuda (1 GPUs)
04-14 11:28:11	output_path: results/cifar100/baselines/standard/wrn-16-2
04-14 11:28:11	log_file: results/cifar100/baselines/standard/wrn-16-2/std_train_wrn_log.txt

04-14 11:28:11	start loading datasets: cifar100
04-14 11:28:12	loaded 50000 dataset_train samples
04-14 11:28:12	loaded 10000 dataset_test samples
04-14 11:28:12	elapsed time: 0:00:01.444804

04-14 11:28:12	start initializing a model
04-14 11:28:12	end initializing a model
04-14 11:28:12	elapsed time:0:00:00.017402

04-14 11:28:12	start setting trainer configurations
04-14 11:28:16	end setting trainer configurations
04-14 11:28:16	elapsed time:0:00:03.867594

04-14 11:28:16	start training a model
04-14 11:28:16	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 11:28:30	001	train	4.6202	0.0251	|	test	4.4084	0.0509
04-14 11:28:43	002	train	4.2770	0.0660	|	test	4.0968	0.0912
04-14 11:28:58	003	train	3.9581	0.1052	|	test	3.7785	0.1251
04-14 11:29:11	004	train	3.6695	0.1397	|	test	3.5200	0.1694
04-14 11:29:24	005	train	3.4295	0.1791	|	test	3.3096	0.2014
04-14 11:29:38	006	train	3.1582	0.2278	|	test	3.0326	0.2474
04-14 11:29:52	007	train	2.8695	0.2778	|	test	2.8173	0.2908
04-14 11:30:06	008	train	2.6273	0.3247	|	test	2.6302	0.3162
04-14 11:30:20	009	train	2.4162	0.3621	|	test	2.3912	0.3687
04-14 11:30:34	010	train	2.2402	0.4028	|	test	2.2029	0.4105
04-14 11:30:48	011	train	2.0808	0.4380	|	test	2.0930	0.4380
04-14 11:31:01	012	train	1.9700	0.4615	|	test	2.0492	0.4434
04-14 11:31:15	013	train	1.8631	0.4903	|	test	2.0871	0.4385
04-14 11:31:29	014	train	1.7761	0.5092	|	test	2.0167	0.4507
04-14 11:31:43	015	train	1.7154	0.5224	|	test	1.9429	0.4745
04-14 11:31:57	016	train	1.6427	0.5432	|	test	1.8072	0.5039
04-14 11:32:11	017	train	1.5887	0.5523	|	test	1.8527	0.4961
04-14 11:32:24	018	train	1.5380	0.5679	|	test	1.8724	0.5036
04-14 11:32:39	019	train	1.4883	0.5803	|	test	1.9634	0.4797
04-14 11:32:52	020	train	1.4586	0.5863	|	test	1.7995	0.5081
04-14 11:33:06	021	train	1.4137	0.5955	|	test	1.6809	0.5340
04-14 11:33:19	022	train	1.3954	0.6019	|	test	1.7462	0.5256
04-14 11:33:33	023	train	1.3623	0.6099	|	test	1.7008	0.5328
