04-14 04:33:02	##### arguments #####
04-14 04:33:02	dataset: cifar100
04-14 04:33:02	model_config: config/model/wrn-40-2.json
04-14 04:33:02	-- num_layer: 40
04-14 04:33:02	-- widening_factor: 2
04-14 04:33:02	run_config: config/run/std_train.json
04-14 04:33:02	-- batch_size_train: 128
04-14 04:33:02	-- batch_size_eval: 256
04-14 04:33:02	-- num_epochs: 100
04-14 04:33:02	-- learning_rate: 0.1
04-14 04:33:02	-- learning_rate_scheduler: cyclicLR
04-14 04:33:02	-- momentum: 0.9
04-14 04:33:02	-- weight_decay: 0.0005
04-14 04:33:02	-- dropout_rate: 0
04-14 04:33:02	device: cuda (1 GPUs)
04-14 04:33:02	output_path: results/cifar100/baselines/standard/wrn-40-2
04-14 04:33:02	log_file: results/cifar100/baselines/standard/wrn-40-2/std_train_wrn_log.txt

04-14 04:33:02	start loading datasets: cifar100
04-14 04:33:03	loaded 50000 dataset_train samples
04-14 04:33:03	loaded 10000 dataset_test samples
04-14 04:33:03	elapsed time: 0:00:01.448611

04-14 04:33:03	start initializing a model
04-14 04:33:03	end initializing a model
04-14 04:33:03	elapsed time:0:00:00.047491

04-14 04:33:03	start setting trainer configurations
04-14 04:33:07	end setting trainer configurations
04-14 04:33:07	elapsed time:0:00:03.967599

04-14 04:33:07	start training a model
04-14 04:33:07	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 04:33:29	001	train	4.6632	0.0149	|	test	4.5954	0.0170
04-14 04:33:50	002	train	4.5348	0.0247	|	test	4.5063	0.0282
04-14 04:34:12	003	train	4.4118	0.0400	|	test	4.3201	0.0490
04-14 04:34:33	004	train	4.1423	0.0725	|	test	3.9593	0.0956
04-14 04:34:55	005	train	3.7986	0.1204	|	test	3.5945	0.1435
04-14 04:35:16	006	train	3.4793	0.1667	|	test	3.3648	0.1783
04-14 04:35:37	007	train	3.1846	0.2131	|	test	3.0864	0.2323
04-14 04:35:59	008	train	2.8961	0.2682	|	test	2.8970	0.2683
04-14 04:36:20	009	train	2.6504	0.3153	|	test	2.6887	0.3050
04-14 04:36:42	010	train	2.4526	0.3537	|	test	2.4557	0.3565
04-14 04:37:04	011	train	2.2917	0.3917	|	test	2.2960	0.3977
04-14 04:37:25	012	train	2.1514	0.4204	|	test	2.2434	0.4048
04-14 04:37:47	013	train	2.0107	0.4520	|	test	2.0100	0.4538
04-14 04:38:08	014	train	1.9041	0.4779	|	test	2.2666	0.4077
04-14 04:38:29	015	train	1.7988	0.5011	|	test	2.0579	0.4573
04-14 04:38:51	016	train	1.7105	0.5242	|	test	1.8265	0.5018
04-14 04:39:12	017	train	1.6331	0.5431	|	test	1.8851	0.4893
04-14 04:39:34	018	train	1.5653	0.5583	|	test	1.7719	0.5171
04-14 04:39:56	019	train	1.4980	0.5768	|	test	1.8462	0.5037
04-14 04:40:17	020	train	1.4499	0.5895	|	test	1.6754	0.5422
04-14 04:40:39	021	train	1.3990	0.6006	|	test	1.6891	0.5424
04-14 04:41:00	022	train	1.3553	0.6129	|	test	1.6574	0.5510
04-14 04:41:21	023	train	1.3249	0.6188	|	test	1.6324	0.5478
04-14 04:41:43	024	train	1.2815	0.6332	|	test	1.7938	0.5265
04-14 04:42:04	025	train	1.2579	0.6416	|	test	1.6129	0.5630
04-14 04:42:26	026	train	1.2250	0.6455	|	test	1.7000	0.5513
04-14 04:42:47	027	train	1.2069	0.6519	|	test	1.5986	0.5583
04-14 04:43:08	028	train	1.1877	0.6566	|	test	1.7108	0.5408
04-14 04:43:29	029	train	1.1704	0.6604	|	test	1.5975	0.5685
04-14 04:43:51	030	train	1.1587	0.6636	|	test	1.6597	0.5529
04-14 04:44:12	031	train	1.1293	0.6724	|	test	1.5190	0.5910
04-14 04:44:34	032	train	1.1271	0.6695	|	test	1.9506	0.5180
04-14 04:44:55	033	train	1.1133	0.6760	|	test	1.5377	0.5853
04-14 04:45:16	034	train	1.0954	0.6807	|	test	1.6388	0.5677
04-14 04:45:38	035	train	1.0809	0.6831	|	test	1.5985	0.5750
04-14 04:45:59	036	train	1.0760	0.6847	|	test	1.6667	0.5535
04-14 04:46:20	037	train	1.0633	0.6897	|	test	1.4949	0.5913
04-14 04:46:42	038	train	1.0534	0.6902	|	test	1.8661	0.5306
04-14 04:47:03	039	train	1.0464	0.6955	|	test	1.8633	0.5339
04-14 04:47:24	040	train	1.0444	0.6949	|	test	1.5120	0.5843
04-14 04:47:46	041	train	1.0317	0.7008	|	test	1.5497	0.5868
04-14 04:48:07	042	train	1.0306	0.6981	|	test	1.6970	0.5603
04-14 04:48:29	043	train	1.0182	0.7012	|	test	1.6147	0.5780
04-14 04:48:50	044	train	1.0221	0.7020	|	test	1.6755	0.5596
04-14 04:49:11	045	train	1.0120	0.7052	|	test	1.6184	0.5757
04-14 04:49:33	046	train	1.0036	0.7068	|	test	1.6544	0.5681
04-14 04:49:54	047	train	1.0028	0.7067	|	test	1.4255	0.6207
04-14 04:50:16	048	train	0.9925	0.7089	|	test	1.4788	0.6008
04-14 04:50:37	049	train	0.9818	0.7112	|	test	1.6339	0.5729
04-14 04:50:59	050	train	0.9864	0.7073	|	test	1.9113	0.5336
04-14 04:51:20	051	train	0.9782	0.7094	|	test	1.6839	0.5661
04-14 04:51:41	052	train	0.9588	0.7167	|	test	1.7343	0.5603
04-14 04:52:03	053	train	0.9441	0.7200	|	test	1.4854	0.6052
04-14 04:52:24	054	train	0.9322	0.7254	|	test	1.4566	0.6123
04-14 04:52:45	055	train	0.9149	0.7291	|	test	1.4902	0.6012
04-14 04:53:07	056	train	0.9053	0.7309	|	test	1.4228	0.6236
04-14 04:53:28	057	train	0.8926	0.7365	|	test	1.4727	0.6083
04-14 04:53:50	058	train	0.8853	0.7372	|	test	1.5244	0.6071
04-14 04:54:11	059	train	0.8718	0.7412	|	test	1.4426	0.6143
04-14 04:54:32	060	train	0.8548	0.7469	|	test	1.5617	0.5950
04-14 04:54:54	061	train	0.8491	0.7484	|	test	1.4298	0.6172
04-14 04:55:15	062	train	0.8310	0.7522	|	test	1.5132	0.6074
04-14 04:55:37	063	train	0.8233	0.7541	|	test	1.3604	0.6338
04-14 04:55:58	064	train	0.8076	0.7577	|	test	1.3400	0.6401
04-14 04:56:19	065	train	0.7997	0.7608	|	test	1.3951	0.6267
04-14 04:56:40	066	train	0.7861	0.7655	|	test	1.2969	0.6461
04-14 04:57:02	067	train	0.7671	0.7701	|	test	1.4222	0.6284
04-14 04:57:24	068	train	0.7607	0.7709	|	test	1.4259	0.6280
04-14 04:57:45	069	train	0.7566	0.7740	|	test	1.3483	0.6462
04-14 04:58:07	070	train	0.7288	0.7820	|	test	1.5570	0.6083
04-14 04:58:29	071	train	0.7222	0.7812	|	test	1.5609	0.6132
04-14 04:58:51	072	train	0.7043	0.7884	|	test	1.4569	0.6228
04-14 04:59:12	073	train	0.6909	0.7919	|	test	1.2753	0.6540
04-14 04:59:33	074	train	0.6800	0.7956	|	test	1.3519	0.6477
04-14 04:59:55	075	train	0.6624	0.7994	|	test	1.3712	0.6458
04-14 05:00:16	076	train	0.6479	0.8036	|	test	1.2976	0.6585
04-14 05:00:38	077	train	0.6243	0.8112	|	test	1.3480	0.6512
04-14 05:00:59	078	train	0.6211	0.8105	|	test	1.4386	0.6389
04-14 05:01:20	079	train	0.5985	0.8168	|	test	1.3058	0.6587
04-14 05:01:42	080	train	0.5711	0.8276	|	test	1.3453	0.6518
04-14 05:02:03	081	train	0.5533	0.8310	|	test	1.3107	0.6627
04-14 05:02:25	082	train	0.5380	0.8365	|	test	1.2985	0.6597
04-14 05:02:46	083	train	0.5144	0.8423	|	test	1.2185	0.6818
04-14 05:03:07	084	train	0.4984	0.8466	|	test	1.2391	0.6767
04-14 05:03:29	085	train	0.4745	0.8541	|	test	1.2632	0.6747
04-14 05:03:50	086	train	0.4470	0.8618	|	test	1.3111	0.6698
04-14 05:04:12	087	train	0.4298	0.8680	|	test	1.3360	0.6652
04-14 05:04:33	088	train	0.3901	0.8811	|	test	1.2254	0.6922
04-14 05:04:55	089	train	0.3640	0.8886	|	test	1.2131	0.6925
04-14 05:05:16	090	train	0.3368	0.8967	|	test	1.2114	0.7008
04-14 05:05:38	091	train	0.3013	0.9089	|	test	1.1812	0.6996
04-14 05:05:59	092	train	0.2630	0.9195	|	test	1.1924	0.7060
04-14 05:06:21	093	train	0.2347	0.9297	|	test	1.1699	0.7136
04-14 05:06:43	094	train	0.1943	0.9435	|	test	1.1578	0.7251
04-14 05:07:04	095	train	0.1593	0.9550	|	test	1.1243	0.7243
04-14 05:07:26	096	train	0.1331	0.9633	|	test	1.1184	0.7330
04-14 05:07:47	097	train	0.1065	0.9726	|	test	1.0879	0.7413
04-14 05:08:09	098	train	0.0816	0.9804	|	test	1.0639	0.7444
04-14 05:08:30	099	train	0.0649	0.9862	|	test	1.0493	0.7494
04-14 05:08:51	100	train	0.0552	0.9890	|	test	1.0448	0.7502
04-14 05:08:51	end training a model
04-14 05:08:51	elapsed time:0:35:44.207119

