04-14 10:40:13	##### arguments #####
04-14 10:40:13	dataset: cifar100
04-14 10:40:13	model_config: config/model/wrn-16-1.json
04-14 10:40:13	-- num_layer: 16
04-14 10:40:13	-- widening_factor: 1
04-14 10:40:13	run_config: config/run/std_train_stepLR.json
04-14 10:40:13	-- batch_size_train: 128
04-14 10:40:13	-- batch_size_eval: 256
04-14 10:40:13	-- num_epochs: 200
04-14 10:40:13	-- learning_rate: 0.1
04-14 10:40:13	-- learning_rate_scheduler: stepLR
04-14 10:40:13	-- learning_rate_steps: [60, 120, 160]
04-14 10:40:13	-- learning_rate_decay: 0.2
04-14 10:40:13	-- momentum: 0.9
04-14 10:40:13	-- weight_decay: 0.0005
04-14 10:40:13	-- dropout_rate: 0
04-14 10:40:13	device: cuda (1 GPUs)
04-14 10:40:13	output_path: results/cifar100/baselines/standard_stepLR/wrn-16-1
04-14 10:40:13	log_file: results/cifar100/baselines/standard_stepLR/wrn-16-1/std_train_wrn_log.txt

04-14 10:40:13	start loading datasets: cifar100
04-14 10:40:15	loaded 50000 dataset_train samples
04-14 10:40:15	loaded 10000 dataset_test samples
04-14 10:40:15	elapsed time: 0:00:01.465946

04-14 10:40:15	start initializing a model
04-14 10:40:15	end initializing a model
04-14 10:40:15	elapsed time:0:00:00.010473

04-14 10:40:15	start setting trainer configurations
04-14 10:40:19	end setting trainer configurations
04-14 10:40:19	elapsed time:0:00:03.879533

04-14 10:40:19	start training a model
04-14 10:40:19	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 10:40:34	001	train	3.8964	0.0955	|	test	3.4953	0.1581
04-14 10:40:48	002	train	3.1564	0.2114	|	test	3.0660	0.2250
04-14 10:41:02	003	train	2.7433	0.2895	|	test	2.6940	0.2988
04-14 10:41:16	004	train	2.4839	0.3412	|	test	2.8903	0.2836
04-14 10:41:31	005	train	2.2914	0.3826	|	test	2.4099	0.3651
04-14 10:41:46	006	train	2.1705	0.4115	|	test	2.2380	0.3979
04-14 10:42:01	007	train	2.0783	0.4343	|	test	2.3616	0.3927
04-14 10:42:15	008	train	2.0098	0.4499	|	test	2.4273	0.3931
04-14 10:42:29	009	train	1.9621	0.4627	|	test	2.1309	0.4390
04-14 10:42:43	010	train	1.9126	0.4739	|	test	2.5385	0.3743
04-14 10:42:57	011	train	1.8834	0.4830	|	test	2.5310	0.3757
04-14 10:43:11	012	train	1.8513	0.4863	|	test	2.1635	0.4426
04-14 10:43:25	013	train	1.8237	0.4971	|	test	2.0973	0.4416
04-14 10:43:39	014	train	1.8126	0.4995	|	test	1.9760	0.4626
04-14 10:43:53	015	train	1.7861	0.5052	|	test	2.1222	0.4386
04-14 10:44:07	016	train	1.7689	0.5082	|	test	2.0222	0.4499
04-14 10:44:22	017	train	1.7612	0.5112	|	test	2.0982	0.4486
04-14 10:44:36	018	train	1.7595	0.5126	|	test	2.0443	0.4482
04-14 10:44:50	019	train	1.7404	0.5173	|	test	2.0294	0.4588
04-14 10:45:05	020	train	1.7307	0.5201	|	test	1.8523	0.4875
04-14 10:45:20	021	train	1.7263	0.5211	|	test	2.6105	0.3844
04-14 10:45:34	022	train	1.7141	0.5222	|	test	1.9702	0.4634
