04-13 15:48:17	##### arguments #####
04-13 15:48:17	dataset: cifar10
04-13 15:48:17	model_config: config/model/wrn-40-2.json
04-13 15:48:17	-- num_layer: 40
04-13 15:48:17	-- widening_factor: 2
04-13 15:48:17	run_config: config/run/std_train_stepLR.json
04-13 15:48:17	-- batch_size_train: 128
04-13 15:48:17	-- batch_size_eval: 256
04-13 15:48:17	-- num_epochs: 200
04-13 15:48:17	-- learning_rate: 0.1
04-13 15:48:17	-- learning_rate_scheduler: stepLR
04-13 15:48:17	-- learning_rate_steps: [60, 120, 160]
04-13 15:48:17	-- learning_rate_decay: 0.2
04-13 15:48:17	-- momentum: 0.9
04-13 15:48:17	-- weight_decay: 0.0005
04-13 15:48:17	-- dropout_rate: 0
04-13 15:48:17	device: cuda (1 GPUs)
04-13 15:48:17	output_path: results/cifar10/baselines/standard_stepLR/wrn-40-2
04-13 15:48:17	log_file: results/cifar10/baselines/standard_stepLR/wrn-40-2/std_train_wrn_log.txt

04-13 15:48:17	start loading datasets: cifar10
04-13 15:48:18	loaded 50000 dataset_train samples
04-13 15:48:18	loaded 10000 dataset_test samples
04-13 15:48:18	elapsed time: 0:00:01.195183

04-13 15:48:18	start initializing a model
04-13 15:48:18	end initializing a model
04-13 15:48:18	elapsed time:0:00:00.047855

04-13 15:48:18	start setting trainer configurations
04-13 15:48:22	end setting trainer configurations
04-13 15:48:22	elapsed time:0:00:03.823135

04-13 15:48:22	start training a model
04-13 15:48:22	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 15:48:44	001	train	1.7458	0.3455	|	test	1.6260	0.4097
04-13 15:49:05	002	train	1.2753	0.5374	|	test	1.1459	0.5913
04-13 15:49:26	003	train	0.9934	0.6464	|	test	0.9354	0.6664
04-13 15:49:48	004	train	0.7800	0.7282	|	test	0.9476	0.6937
04-13 15:50:09	005	train	0.6599	0.7749	|	test	0.7747	0.7382
04-13 15:50:31	006	train	0.5903	0.7973	|	test	0.7080	0.7649
04-13 15:50:52	007	train	0.5436	0.8147	|	test	0.7509	0.7549
04-13 15:51:13	008	train	0.5192	0.8208	|	test	0.6585	0.7865
04-13 15:51:35	009	train	0.4990	0.8307	|	test	0.6292	0.7886
04-13 15:51:56	010	train	0.4772	0.8367	|	test	0.7990	0.7344
04-13 15:52:18	011	train	0.4611	0.8424	|	test	0.8656	0.7302
04-13 15:52:39	012	train	0.4508	0.8451	|	test	0.6309	0.7996
04-13 15:53:01	013	train	0.4401	0.8510	|	test	0.5722	0.8146
04-13 15:53:22	014	train	0.4286	0.8531	|	test	0.5004	0.8299
04-13 15:53:44	015	train	0.4205	0.8555	|	test	0.5657	0.8101
04-13 15:54:05	016	train	0.4137	0.8605	|	test	0.5390	0.8208
04-13 15:54:27	017	train	0.4077	0.8601	|	test	0.6197	0.7972
04-13 15:54:48	018	train	0.3979	0.8630	|	test	0.6433	0.7937
04-13 15:55:09	019	train	0.3964	0.8654	|	test	0.5419	0.8178
04-13 15:55:31	020	train	0.3910	0.8678	|	test	0.4836	0.8383
