04-14 08:18:21	##### arguments #####
04-14 08:18:21	dataset: cifar100
04-14 08:18:21	model_config: config/model/wrn-40-8.json
04-14 08:18:21	-- num_layer: 40
04-14 08:18:21	-- widening_factor: 8
04-14 08:18:21	run_config: config/run/std_train_stepLR.json
04-14 08:18:21	-- batch_size_train: 128
04-14 08:18:21	-- batch_size_eval: 256
04-14 08:18:21	-- num_epochs: 200
04-14 08:18:21	-- learning_rate: 0.1
04-14 08:18:21	-- learning_rate_scheduler: stepLR
04-14 08:18:21	-- learning_rate_steps: [60, 120, 160]
04-14 08:18:21	-- learning_rate_decay: 0.2
04-14 08:18:21	-- momentum: 0.9
04-14 08:18:21	-- weight_decay: 0.0005
04-14 08:18:21	-- dropout_rate: 0
04-14 08:18:21	device: cuda (1 GPUs)
04-14 08:18:21	output_path: results/cifar100/baselines/standard_stepLR/wrn-40-8
04-14 08:18:21	log_file: results/cifar100/baselines/standard_stepLR/wrn-40-8/std_train_wrn_log.txt

04-14 08:18:21	start loading datasets: cifar100
04-14 08:18:22	loaded 50000 dataset_train samples
04-14 08:18:22	loaded 10000 dataset_test samples
04-14 08:18:22	elapsed time: 0:00:01.486335

04-14 08:18:22	start initializing a model
04-14 08:18:23	end initializing a model
04-14 08:18:23	elapsed time:0:00:00.586773

04-14 08:18:23	start setting trainer configurations
04-14 08:18:27	end setting trainer configurations
04-14 08:18:27	elapsed time:0:00:03.905331

04-14 08:18:27	start training a model
04-14 08:18:27	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 08:20:49	001	train	4.3045	0.0405	|	test	3.9940	0.0718
04-14 08:23:10	002	train	3.7304	0.1123	|	test	3.5935	0.1462
04-14 08:25:32	003	train	3.2560	0.1951	|	test	3.0261	0.2393
04-14 08:27:54	004	train	2.7500	0.2900	|	test	2.5610	0.3297
04-14 08:30:16	005	train	2.2931	0.3887	|	test	2.1359	0.4218
04-14 08:32:38	006	train	1.9542	0.4649	|	test	2.0397	0.4465
04-14 08:34:59	007	train	1.7191	0.5191	|	test	1.8268	0.5081
04-14 08:37:21	008	train	1.5600	0.5615	|	test	1.7235	0.5327
04-14 08:39:43	009	train	1.4396	0.5921	|	test	1.7052	0.5324
04-14 08:42:04	010	train	1.3664	0.6099	|	test	1.5960	0.5555
04-14 08:44:26	011	train	1.2919	0.6327	|	test	1.4588	0.5940
04-14 08:46:47	012	train	1.2409	0.6457	|	test	1.6798	0.5494
04-14 08:49:09	013	train	1.1888	0.6578	|	test	1.3861	0.6067
04-14 08:51:30	014	train	1.1484	0.6689	|	test	1.4857	0.5934
04-14 08:53:51	015	train	1.1173	0.6746	|	test	1.5023	0.5935
04-14 08:56:12	016	train	1.0805	0.6879	|	test	1.4893	0.5963
04-14 08:58:33	017	train	1.0628	0.6902	|	test	1.3452	0.6292
04-14 09:00:54	018	train	1.0386	0.6983	|	test	1.6377	0.5686
04-14 09:03:15	019	train	1.0252	0.7007	|	test	1.5199	0.5933
04-14 09:05:36	020	train	1.0008	0.7074	|	test	1.4253	0.6108
