04-14 22:48:48	##### arguments #####
04-14 22:48:48	dataset: cifar10
04-14 22:48:48	model_config: config/model/wrn-40-4.json
04-14 22:48:48	-- num_layer: 40
04-14 22:48:48	-- widening_factor: 4
04-14 22:48:48	run_config: config/run/adv_train.json
04-14 22:48:48	-- batch_size_train: 128
04-14 22:48:48	-- batch_size_eval: 256
04-14 22:48:48	-- num_epochs: 100
04-14 22:48:48	-- learning_rate: 0.1
04-14 22:48:48	-- learning_rate_scheduler: cyclicLR
04-14 22:48:48	-- momentum: 0.9
04-14 22:48:48	-- weight_decay: 0.0005
04-14 22:48:48	-- dropout_rate: 0
04-14 22:48:48	-- adv_train_type: pgd
04-14 22:48:48	-- epsilon_train: 8
04-14 22:48:48	-- alpha_train: 2
04-14 22:48:48	-- restarts_train: 1
04-14 22:48:48	-- attack_iters_train: 7
04-14 22:48:48	-- epsilon_eval: 8
04-14 22:48:48	-- alpha_eval: 2
04-14 22:48:48	-- restarts_eval: 1
04-14 22:48:48	-- attack_iters_eval: 5
04-14 22:48:48	device: cuda (1 GPUs)
04-14 22:48:48	output_path: results/cifar10/baselines/adversarial/wrn-40-4
04-14 22:48:48	log_file: results/cifar10/baselines/adversarial/wrn-40-4/adv_train_wrn_log.txt

04-14 22:48:48	start loading datasets: cifar10
04-14 22:48:49	loaded 50000 dataset_train samples
04-14 22:48:49	loaded 10000 dataset_test samples
04-14 22:48:49	elapsed time: 0:00:01.198159

04-14 22:48:49	start initializing a model
04-14 22:48:49	end initializing a model
04-14 22:48:49	elapsed time:0:00:00.143858

04-14 22:48:49	start setting trainer configurations
04-14 22:48:53	end setting trainer configurations
04-14 22:48:53	elapsed time:0:00:03.819995

04-14 22:48:53	start training a model
04-14 22:48:53	ep	split	adv_loss	adv_acc	|	split	adv_loss	adv_acc
04-14 22:55:12	001	train	2.4414	0.0726	|	test	2.2723	0.0860
04-14 23:01:31	002	train	2.3048	0.0910	|	test	2.2809	0.1100
04-14 23:07:51	003	train	2.2979	0.1052	|	test	2.2758	0.1068
04-14 23:14:10	004	train	2.2974	0.1092	|	test	2.2808	0.1100
04-14 23:20:29	005	train	2.2972	0.1095	|	test	2.2645	0.1106
04-14 23:26:48	006	train	2.2947	0.1094	|	test	2.2676	0.1177
04-14 23:33:07	007	train	2.2949	0.1115	|	test	2.2691	0.1139
04-14 23:39:26	008	train	2.2926	0.1123	|	test	2.2760	0.1155
04-14 23:45:45	009	train	2.2924	0.1123	|	test	2.2720	0.1098
04-14 23:52:04	010	train	2.2899	0.1154	|	test	2.2680	0.1177
04-14 23:58:23	011	train	2.2893	0.1132	|	test	2.2656	0.1241
04-15 00:04:43	012	train	2.2863	0.1138	|	test	2.2529	0.1129
04-15 00:11:02	013	train	2.2838	0.1151	|	test	2.2410	0.1165
04-15 00:17:20	014	train	2.1721	0.1741	|	test	1.9227	0.2267
04-15 00:23:40	015	train	2.0525	0.2214	|	test	1.8014	0.2656
04-15 00:29:59	016	train	1.9816	0.2503	|	test	1.7063	0.3093
04-15 00:36:18	017	train	1.9262	0.2728	|	test	1.6587	0.3186
04-15 00:42:37	018	train	1.8764	0.2912	|	test	1.5963	0.3445
04-15 00:48:57	019	train	1.8325	0.3097	|	test	1.5363	0.3630
04-15 00:55:16	020	train	1.7903	0.3249	|	test	1.4907	0.3802
04-15 01:01:35	021	train	1.7547	0.3368	|	test	1.4370	0.3882
04-15 01:07:54	022	train	1.7159	0.3504	|	test	1.3912	0.4127
04-15 01:14:14	023	train	1.6791	0.3661	|	test	1.3445	0.4209
04-15 01:20:33	024	train	1.6447	0.3771	|	test	1.3068	0.4327
