04-14 11:51:39	##### arguments #####
04-14 11:51:39	dataset: cifar100
04-14 11:51:39	model_config: config/model/wrn-16-2.json
04-14 11:51:39	-- num_layer: 16
04-14 11:51:39	-- widening_factor: 2
04-14 11:51:39	run_config: config/run/std_train_stepLR.json
04-14 11:51:39	-- batch_size_train: 128
04-14 11:51:39	-- batch_size_eval: 256
04-14 11:51:39	-- num_epochs: 200
04-14 11:51:39	-- learning_rate: 0.1
04-14 11:51:39	-- learning_rate_scheduler: stepLR
04-14 11:51:39	-- learning_rate_steps: [60, 120, 160]
04-14 11:51:39	-- learning_rate_decay: 0.2
04-14 11:51:39	-- momentum: 0.9
04-14 11:51:39	-- weight_decay: 0.0005
04-14 11:51:39	-- dropout_rate: 0
04-14 11:51:39	device: cuda (1 GPUs)
04-14 11:51:39	output_path: results/cifar100/baselines/standard_stepLR/wrn-16-2
04-14 11:51:39	log_file: results/cifar100/baselines/standard_stepLR/wrn-16-2/std_train_wrn_log.txt

04-14 11:51:39	start loading datasets: cifar100
04-14 11:51:41	loaded 50000 dataset_train samples
04-14 11:51:41	loaded 10000 dataset_test samples
04-14 11:51:41	elapsed time: 0:00:01.662714

04-14 11:51:41	start initializing a model
04-14 11:51:41	end initializing a model
04-14 11:51:41	elapsed time:0:00:00.028475

04-14 11:51:41	start setting trainer configurations
04-14 11:51:45	end setting trainer configurations
04-14 11:51:45	elapsed time:0:00:04.621853

04-14 11:51:45	start training a model
04-14 11:51:45	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 11:52:00	001	train	3.7435	0.1205	|	test	3.3240	0.1757
04-14 11:52:14	002	train	2.8636	0.2647	|	test	3.2989	0.2098
04-14 11:52:27	003	train	2.4013	0.3598	|	test	2.3861	0.3626
04-14 11:52:41	004	train	2.1317	0.4201	|	test	2.1629	0.4195
04-14 11:52:55	005	train	1.9645	0.4608	|	test	2.2818	0.4063
04-14 11:53:09	006	train	1.8453	0.4904	|	test	2.1015	0.4375
04-14 11:53:22	007	train	1.7558	0.5127	|	test	1.9871	0.4697
04-14 11:53:36	008	train	1.6808	0.5312	|	test	2.0395	0.4516
04-14 11:53:50	009	train	1.6333	0.5424	|	test	1.9651	0.4745
04-14 11:54:03	010	train	1.5936	0.5515	|	test	1.8452	0.5066
04-14 11:54:16	011	train	1.5471	0.5631	|	test	1.9676	0.4875
04-14 11:54:30	012	train	1.5229	0.5718	|	test	1.8644	0.5015
04-14 11:54:44	013	train	1.4964	0.5780	|	test	2.0345	0.4653
04-14 11:54:57	014	train	1.4721	0.5858	|	test	1.7159	0.5305
04-14 11:55:11	015	train	1.4548	0.5889	|	test	2.2560	0.4466
04-14 11:55:24	016	train	1.4293	0.5963	|	test	1.7019	0.5299
04-14 11:55:39	017	train	1.4193	0.5992	|	test	1.7008	0.5375
04-14 11:55:52	018	train	1.3993	0.6010	|	test	1.7453	0.5309
04-14 11:56:06	019	train	1.3859	0.6076	|	test	1.7676	0.5325
04-14 11:56:19	020	train	1.3778	0.6088	|	test	1.7649	0.5228
04-14 11:56:34	021	train	1.3666	0.6103	|	test	1.5869	0.5571
04-14 11:56:48	022	train	1.3596	0.6135	|	test	1.6674	0.5400
04-14 11:57:03	023	train	1.3481	0.6158	|	test	1.5567	0.5656
04-14 11:57:16	024	train	1.3414	0.6164	|	test	1.6536	0.5483
04-14 11:57:32	025	train	1.3389	0.6184	|	test	1.7995	0.5293
04-14 11:57:48	026	train	1.3297	0.6216	|	test	2.3778	0.4425
04-14 11:58:03	027	train	1.3283	0.6218	|	test	1.9488	0.4876
04-14 11:58:20	028	train	1.3211	0.6235	|	test	1.6103	0.5673
04-14 11:58:36	029	train	1.3098	0.6289	|	test	1.5736	0.5629
04-14 11:58:52	030	train	1.3007	0.6280	|	test	1.7473	0.5379
