04-13 17:00:22	##### arguments #####
04-13 17:00:22	dataset: cifar10
04-13 17:00:22	model_config: config/model/wrn-40-4.json
04-13 17:00:22	-- num_layer: 40
04-13 17:00:22	-- widening_factor: 4
04-13 17:00:22	run_config: config/run/std_train_stepLR.json
04-13 17:00:22	-- batch_size_train: 128
04-13 17:00:22	-- batch_size_eval: 256
04-13 17:00:22	-- num_epochs: 200
04-13 17:00:22	-- learning_rate: 0.1
04-13 17:00:22	-- learning_rate_scheduler: stepLR
04-13 17:00:22	-- learning_rate_steps: [60, 120, 160]
04-13 17:00:22	-- learning_rate_decay: 0.2
04-13 17:00:22	-- momentum: 0.9
04-13 17:00:22	-- weight_decay: 0.0005
04-13 17:00:22	-- dropout_rate: 0
04-13 17:00:22	device: cuda (1 GPUs)
04-13 17:00:22	output_path: results/cifar10/baselines/standard_stepLR/wrn-40-4
04-13 17:00:22	log_file: results/cifar10/baselines/standard_stepLR/wrn-40-4/std_train_wrn_log.txt

04-13 17:00:22	start loading datasets: cifar10
04-13 17:00:23	loaded 50000 dataset_train samples
04-13 17:00:23	loaded 10000 dataset_test samples
04-13 17:00:23	elapsed time: 0:00:01.201174

04-13 17:00:23	start initializing a model
04-13 17:00:24	end initializing a model
04-13 17:00:24	elapsed time:0:00:00.145181

04-13 17:00:24	start setting trainer configurations
04-13 17:00:28	end setting trainer configurations
04-13 17:00:28	elapsed time:0:00:03.970655

04-13 17:00:28	start training a model
04-13 17:00:28	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 17:01:12	001	train	1.8890	0.2904	|	test	1.6385	0.3571
04-13 17:01:57	002	train	1.4262	0.4733	|	test	1.2517	0.5413
04-13 17:02:41	003	train	1.0438	0.6276	|	test	0.9254	0.6835
04-13 17:03:25	004	train	0.7964	0.7237	|	test	0.8322	0.7136
04-13 17:04:10	005	train	0.6525	0.7749	|	test	0.7810	0.7467
04-13 17:04:54	006	train	0.5689	0.8039	|	test	0.5799	0.8011
04-13 17:05:39	007	train	0.5160	0.8236	|	test	0.6776	0.7692
04-13 17:06:23	008	train	0.4760	0.8378	|	test	0.6176	0.7878
04-13 17:07:08	009	train	0.4511	0.8462	|	test	0.6023	0.7978
04-13 17:07:52	010	train	0.4348	0.8526	|	test	0.6024	0.7987
04-13 17:08:37	011	train	0.4146	0.8582	|	test	0.4630	0.8450
04-13 17:09:21	012	train	0.4020	0.8626	|	test	0.5525	0.8183
04-13 17:10:05	013	train	0.3921	0.8658	|	test	0.5009	0.8294
04-13 17:10:50	014	train	0.3821	0.8708	|	test	0.4771	0.8392
04-13 17:11:34	015	train	0.3728	0.8713	|	test	0.4818	0.8397
04-13 17:12:19	016	train	0.3685	0.8718	|	test	0.5468	0.8158
04-13 17:13:03	017	train	0.3575	0.8770	|	test	0.4584	0.8482
04-13 17:13:48	018	train	0.3506	0.8804	|	test	0.4262	0.8557
04-13 17:14:32	019	train	0.3449	0.8815	|	test	0.5622	0.8175
04-13 17:15:16	020	train	0.3411	0.8847	|	test	0.4547	0.8463
04-13 17:16:01	021	train	0.3409	0.8835	|	test	0.4528	0.8515
04-13 17:16:45	022	train	0.3327	0.8857	|	test	0.5614	0.8290
04-13 17:17:30	023	train	0.3356	0.8852	|	test	0.4394	0.8519
04-13 17:18:14	024	train	0.3286	0.8874	|	test	0.4484	0.8489
04-13 17:18:59	025	train	0.3272	0.8878	|	test	0.4283	0.8515
04-13 17:19:43	026	train	0.3247	0.8887	|	test	0.5478	0.8214
04-13 17:20:27	027	train	0.3187	0.8902	|	test	0.4370	0.8514
04-13 17:21:12	028	train	0.3254	0.8879	|	test	0.4534	0.8473
04-13 17:21:56	029	train	0.3246	0.8882	|	test	0.4257	0.8596
04-13 17:22:41	030	train	0.3175	0.8913	|	test	0.5455	0.8366
04-13 17:23:25	031	train	0.3200	0.8891	|	test	0.4412	0.8505
04-13 17:24:10	032	train	0.3149	0.8924	|	test	0.5707	0.8089
04-13 17:24:54	033	train	0.3114	0.8939	|	test	0.4737	0.8467
04-13 17:25:39	034	train	0.3142	0.8925	|	test	0.4915	0.8388
04-13 17:26:23	035	train	0.3106	0.8940	|	test	0.6027	0.8081
04-13 17:27:07	036	train	0.3137	0.8939	|	test	0.4581	0.8459
04-13 17:27:52	037	train	0.3141	0.8928	|	test	0.4181	0.8584
04-13 17:28:36	038	train	0.3047	0.8955	|	test	0.4551	0.8514
04-13 17:29:21	039	train	0.3085	0.8940	|	test	0.4633	0.8502
04-13 17:30:05	040	train	0.3106	0.8923	|	test	0.4399	0.8505
04-13 17:30:49	041	train	0.3089	0.8949	|	test	0.4388	0.8570
04-13 17:31:34	042	train	0.3048	0.8960	|	test	0.4850	0.8451
04-13 17:32:18	043	train	0.3065	0.8954	|	test	0.4064	0.8652
04-13 17:33:02	044	train	0.3058	0.8963	|	test	0.4697	0.8480
04-13 17:33:47	045	train	0.3107	0.8946	|	test	0.4632	0.8440
04-13 17:34:31	046	train	0.3011	0.8966	|	test	0.4561	0.8498
04-13 17:35:15	047	train	0.3060	0.8952	|	test	0.5178	0.8320
04-13 17:36:00	048	train	0.3111	0.8938	|	test	0.5277	0.8280
04-13 17:36:44	049	train	0.3105	0.8942	|	test	0.4401	0.8520
04-13 17:37:29	050	train	0.3051	0.8947	|	test	0.4188	0.8619
04-13 17:38:13	051	train	0.3089	0.8946	|	test	0.4468	0.8574
04-13 17:38:57	052	train	0.2991	0.8983	|	test	0.5872	0.8136
04-13 17:39:42	053	train	0.3029	0.8961	|	test	0.4173	0.8602
04-13 17:40:26	054	train	0.3065	0.8946	|	test	0.4571	0.8466
04-13 17:41:11	055	train	0.3035	0.8953	|	test	0.4961	0.8431
04-13 17:41:55	056	train	0.3030	0.8967	|	test	0.4204	0.8641
04-13 17:42:39	057	train	0.3006	0.8964	|	test	0.3945	0.8703
04-13 17:43:24	058	train	0.3013	0.8975	|	test	0.4556	0.8509
04-13 17:44:08	059	train	0.3010	0.8978	|	test	0.5338	0.8280
04-13 17:44:52	060	train	0.2958	0.8979	|	test	0.4555	0.8526
04-13 17:45:37	061	train	0.1614	0.9464	|	test	0.2114	0.9270
04-13 17:46:21	062	train	0.1188	0.9601	|	test	0.2031	0.9294
04-13 17:47:05	063	train	0.1015	0.9661	|	test	0.2071	0.9321
04-13 17:47:50	064	train	0.0865	0.9708	|	test	0.2180	0.9323
04-13 17:48:34	065	train	0.0822	0.9729	|	test	0.2159	0.9326
04-13 17:49:18	066	train	0.0754	0.9740	|	test	0.2204	0.9324
04-13 17:50:03	067	train	0.0772	0.9743	|	test	0.2327	0.9265
04-13 17:50:47	068	train	0.0766	0.9741	|	test	0.2124	0.9313
04-13 17:51:31	069	train	0.0731	0.9767	|	test	0.2442	0.9276
04-13 17:52:16	070	train	0.0737	0.9746	|	test	0.2462	0.9227
04-13 17:53:00	071	train	0.0775	0.9734	|	test	0.2339	0.9267
04-13 17:53:44	072	train	0.0808	0.9731	|	test	0.2431	0.9249
04-13 17:54:29	073	train	0.0776	0.9740	|	test	0.2719	0.9206
04-13 17:55:13	074	train	0.0811	0.9730	|	test	0.2754	0.9170
04-13 17:55:57	075	train	0.0771	0.9745	|	test	0.2768	0.9168
04-13 17:56:42	076	train	0.0786	0.9742	|	test	0.3577	0.9048
04-13 17:57:26	077	train	0.0837	0.9720	|	test	0.3032	0.9102
04-13 17:58:10	078	train	0.0847	0.9706	|	test	0.2888	0.9136
04-13 17:58:55	079	train	0.0848	0.9717	|	test	0.2576	0.9203
04-13 17:59:39	080	train	0.0853	0.9714	|	test	0.2822	0.9137
04-13 18:00:24	081	train	0.0874	0.9698	|	test	0.2789	0.9157
04-13 18:01:08	082	train	0.0863	0.9713	|	test	0.2899	0.9144
04-13 18:01:52	083	train	0.0831	0.9719	|	test	0.2779	0.9193
04-13 18:02:37	084	train	0.0856	0.9714	|	test	0.2940	0.9117
04-13 18:03:21	085	train	0.0815	0.9729	|	test	0.2783	0.9199
