04-14 13:06:05	##### arguments #####
04-14 13:06:05	dataset: cifar100
04-14 13:06:05	model_config: config/model/wrn-16-4.json
04-14 13:06:05	-- num_layer: 16
04-14 13:06:05	-- widening_factor: 4
04-14 13:06:05	run_config: config/run/std_train_stepLR.json
04-14 13:06:05	-- batch_size_train: 128
04-14 13:06:05	-- batch_size_eval: 256
04-14 13:06:05	-- num_epochs: 200
04-14 13:06:05	-- learning_rate: 0.1
04-14 13:06:05	-- learning_rate_scheduler: stepLR
04-14 13:06:05	-- learning_rate_steps: [60, 120, 160]
04-14 13:06:05	-- learning_rate_decay: 0.2
04-14 13:06:05	-- momentum: 0.9
04-14 13:06:05	-- weight_decay: 0.0005
04-14 13:06:05	-- dropout_rate: 0
04-14 13:06:05	device: cuda (1 GPUs)
04-14 13:06:05	output_path: results/cifar100/baselines/standard_stepLR/wrn-16-4
04-14 13:06:05	log_file: results/cifar100/baselines/standard_stepLR/wrn-16-4/std_train_wrn_log.txt

04-14 13:06:05	start loading datasets: cifar100
04-14 13:06:07	loaded 50000 dataset_train samples
04-14 13:06:07	loaded 10000 dataset_test samples
04-14 13:06:07	elapsed time: 0:00:01.469300

04-14 13:06:07	start initializing a model
04-14 13:06:07	end initializing a model
04-14 13:06:07	elapsed time:0:00:00.047149

04-14 13:06:07	start setting trainer configurations
04-14 13:06:11	end setting trainer configurations
04-14 13:06:11	elapsed time:0:00:03.901775

04-14 13:06:11	start training a model
04-14 13:06:11	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 13:06:27	001	train	3.5131	0.1583	|	test	3.3130	0.1925
04-14 13:06:43	002	train	2.6001	0.3219	|	test	2.6177	0.3275
04-14 13:06:59	003	train	2.1534	0.4172	|	test	2.1160	0.4301
04-14 13:07:15	004	train	1.8936	0.4783	|	test	2.1577	0.4315
04-14 13:07:31	005	train	1.7284	0.5210	|	test	1.9137	0.4864
04-14 13:07:47	006	train	1.6068	0.5486	|	test	1.8108	0.5053
04-14 13:08:02	007	train	1.5156	0.5721	|	test	1.8575	0.4973
04-14 13:08:18	008	train	1.4418	0.5909	|	test	1.9491	0.4986
04-14 13:08:34	009	train	1.3855	0.6056	|	test	1.6347	0.5429
04-14 13:08:50	010	train	1.3404	0.6212	|	test	1.7254	0.5451
04-14 13:09:06	011	train	1.3024	0.6275	|	test	1.5545	0.5758
04-14 13:09:22	012	train	1.2658	0.6380	|	test	1.6945	0.5486
04-14 13:09:38	013	train	1.2442	0.6429	|	test	1.7590	0.5324
04-14 13:09:54	014	train	1.2158	0.6496	|	test	1.5998	0.5701
04-14 13:10:10	015	train	1.1905	0.6584	|	test	1.6204	0.5627
04-14 13:10:26	016	train	1.1698	0.6668	|	test	1.4998	0.5896
04-14 13:10:42	017	train	1.1666	0.6638	|	test	1.9131	0.5194
04-14 13:10:58	018	train	1.1434	0.6718	|	test	1.5113	0.5890
04-14 13:11:14	019	train	1.1400	0.6716	|	test	1.6510	0.5712
04-14 13:11:30	020	train	1.1134	0.6774	|	test	1.6470	0.5699
04-14 13:11:46	021	train	1.1001	0.6821	|	test	1.5538	0.5828
04-14 13:12:02	022	train	1.1014	0.6814	|	test	1.8165	0.5596
04-14 13:12:18	023	train	1.0858	0.6851	|	test	1.6896	0.5521
04-14 13:12:34	024	train	1.0760	0.6884	|	test	1.5199	0.5886
04-14 13:12:50	025	train	1.0709	0.6874	|	test	1.5067	0.5980
04-14 13:13:06	026	train	1.0627	0.6950	|	test	1.5832	0.5717
04-14 13:13:22	027	train	1.0570	0.6915	|	test	1.4875	0.5921
04-14 13:13:38	028	train	1.0569	0.6937	|	test	1.8176	0.5658
04-14 13:13:54	029	train	1.0473	0.6949	|	test	1.5045	0.5943
04-14 13:14:10	030	train	1.0383	0.7006	|	test	1.4659	0.6077
04-14 13:14:26	031	train	1.0378	0.6988	|	test	1.4009	0.6187
04-14 13:14:42	032	train	1.0310	0.7005	|	test	1.6656	0.5679
04-14 13:14:58	033	train	1.0232	0.7027	|	test	1.6031	0.5773
04-14 13:15:14	034	train	1.0198	0.7040	|	test	1.6645	0.5600
04-14 13:15:30	035	train	1.0227	0.7043	|	test	1.6151	0.5798
04-14 13:15:46	036	train	1.0189	0.7042	|	test	1.3948	0.6207
04-14 13:16:02	037	train	1.0120	0.7038	|	test	1.4246	0.6135
04-14 13:16:18	038	train	1.0123	0.7061	|	test	1.4808	0.5991
04-14 13:16:34	039	train	0.9999	0.7092	|	test	1.7000	0.5673
04-14 13:16:50	040	train	1.0033	0.7063	|	test	1.4963	0.6014
04-14 13:17:06	041	train	0.9937	0.7121	|	test	1.7034	0.5606
04-14 13:17:22	042	train	1.0027	0.7084	|	test	1.5620	0.5969
04-14 13:17:38	043	train	0.9937	0.7101	|	test	1.7255	0.5536
04-14 13:17:54	044	train	0.9933	0.7120	|	test	1.4583	0.6133
04-14 13:18:10	045	train	0.9943	0.7117	|	test	1.4649	0.6103
04-14 13:18:25	046	train	0.9940	0.7096	|	test	1.5249	0.6015
04-14 13:18:41	047	train	0.9873	0.7126	|	test	1.5395	0.5970
04-14 13:18:57	048	train	0.9919	0.7115	|	test	1.5503	0.5874
04-14 13:19:13	049	train	0.9757	0.7158	|	test	1.7785	0.5569
04-14 13:19:29	050	train	0.9796	0.7144	|	test	1.7034	0.5705
04-14 13:19:45	051	train	0.9776	0.7142	|	test	1.4697	0.6110
04-14 13:20:01	052	train	0.9821	0.7148	|	test	1.4858	0.6013
04-14 13:20:17	053	train	0.9755	0.7151	|	test	1.3787	0.6202
04-14 13:20:33	054	train	0.9727	0.7163	|	test	1.3947	0.6249
04-14 13:20:49	055	train	0.9714	0.7176	|	test	1.6885	0.5644
04-14 13:21:04	056	train	0.9814	0.7131	|	test	1.5638	0.6015
04-14 13:21:20	057	train	0.9655	0.7204	|	test	1.7266	0.5604
04-14 13:21:37	058	train	0.9704	0.7183	|	test	1.5509	0.5946
04-14 13:21:53	059	train	0.9626	0.7203	|	test	1.4969	0.5998
04-14 13:22:09	060	train	0.9622	0.7207	|	test	1.5133	0.6053
04-14 13:22:26	061	train	0.5801	0.8328	|	test	0.8926	0.7464
04-14 13:22:42	062	train	0.4543	0.8681	|	test	0.8893	0.7489
04-14 13:22:58	063	train	0.4000	0.8845	|	test	0.9124	0.7469
04-14 13:23:14	064	train	0.3656	0.8953	|	test	0.9128	0.7500
04-14 13:23:30	065	train	0.3343	0.9043	|	test	0.9347	0.7451
04-14 13:23:46	066	train	0.3119	0.9124	|	test	0.9524	0.7408
04-14 13:24:02	067	train	0.3000	0.9146	|	test	0.9779	0.7371
04-14 13:24:18	068	train	0.2901	0.9190	|	test	0.9996	0.7362
04-14 13:24:34	069	train	0.2808	0.9214	|	test	0.9886	0.7346
04-14 13:24:50	070	train	0.2709	0.9234	|	test	1.0353	0.7270
04-14 13:25:06	071	train	0.2692	0.9245	|	test	1.0920	0.7225
04-14 13:25:22	072	train	0.2709	0.9232	|	test	1.0864	0.7206
04-14 13:25:38	073	train	0.2772	0.9209	|	test	1.1645	0.7095
04-14 13:25:54	074	train	0.2762	0.9198	|	test	1.0486	0.7217
04-14 13:26:09	075	train	0.2829	0.9182	|	test	1.0977	0.7126
04-14 13:26:25	076	train	0.2811	0.9197	|	test	1.1097	0.7155
04-14 13:26:41	077	train	0.2851	0.9169	|	test	1.1487	0.7104
04-14 13:26:57	078	train	0.2841	0.9179	|	test	1.1447	0.7123
04-14 13:27:13	079	train	0.2857	0.9178	|	test	1.1324	0.7142
04-14 13:27:29	080	train	0.2889	0.9168	|	test	1.1917	0.7012
04-14 13:27:45	081	train	0.2857	0.9173	|	test	1.1505	0.7077
04-14 13:28:01	082	train	0.2939	0.9149	|	test	1.1593	0.7086
04-14 13:28:17	083	train	0.2887	0.9170	|	test	1.1119	0.7103
04-14 13:28:33	084	train	0.2795	0.9190	|	test	1.1598	0.7088
04-14 13:28:48	085	train	0.2755	0.9202	|	test	1.2100	0.6965
04-14 13:29:05	086	train	0.2839	0.9179	|	test	1.1990	0.7029
04-14 13:29:21	087	train	0.2860	0.9163	|	test	1.1495	0.7089
04-14 13:29:37	088	train	0.2844	0.9177	|	test	1.1960	0.7070
04-14 13:29:53	089	train	0.2726	0.9219	|	test	1.1969	0.7027
04-14 13:30:09	090	train	0.2710	0.9226	|	test	1.2138	0.6927
04-14 13:30:25	091	train	0.2734	0.9221	|	test	1.2048	0.7033
04-14 13:30:41	092	train	0.2753	0.9204	|	test	1.2292	0.6993
04-14 13:30:57	093	train	0.2757	0.9193	|	test	1.2732	0.6940
04-14 13:31:13	094	train	0.2696	0.9224	|	test	1.2449	0.7027
04-14 13:31:29	095	train	0.2641	0.9242	|	test	1.2133	0.6955
04-14 13:31:45	096	train	0.2778	0.9191	|	test	1.2251	0.6884
04-14 13:32:01	097	train	0.2699	0.9220	|	test	1.1973	0.6984
04-14 13:32:17	098	train	0.2672	0.9243	|	test	1.2350	0.7008
04-14 13:32:33	099	train	0.2623	0.9249	|	test	1.2144	0.7004
04-14 13:32:48	100	train	0.2652	0.9229	|	test	1.1728	0.7023
04-14 13:33:04	101	train	0.2582	0.9262	|	test	1.1713	0.7063
04-14 13:33:20	102	train	0.2639	0.9240	|	test	1.2444	0.6953
04-14 13:33:36	103	train	0.2537	0.9268	|	test	1.2023	0.7034
04-14 13:33:52	104	train	0.2643	0.9243	|	test	1.2483	0.6900
04-14 13:34:08	105	train	0.2534	0.9269	|	test	1.1966	0.6975
04-14 13:34:24	106	train	0.2480	0.9293	|	test	1.2160	0.7004
04-14 13:34:40	107	train	0.2604	0.9250	|	test	1.2545	0.6952
04-14 13:34:56	108	train	0.2546	0.9281	|	test	1.3198	0.6893
04-14 13:35:12	109	train	0.2487	0.9284	|	test	1.2671	0.6888
04-14 13:35:28	110	train	0.2523	0.9274	|	test	1.2447	0.6992
04-14 13:35:44	111	train	0.2485	0.9310	|	test	1.2232	0.6988
04-14 13:36:00	112	train	0.2582	0.9260	|	test	1.2661	0.6950
04-14 13:36:16	113	train	0.2559	0.9262	|	test	1.2190	0.6970
04-14 13:36:32	114	train	0.2525	0.9266	|	test	1.2330	0.6942
04-14 13:36:48	115	train	0.2458	0.9294	|	test	1.2560	0.6997
04-14 13:37:04	116	train	0.2460	0.9300	|	test	1.2835	0.6916
04-14 13:37:19	117	train	0.2459	0.9299	|	test	1.2107	0.7019
04-14 13:37:35	118	train	0.2409	0.9319	|	test	1.2652	0.6880
04-14 13:37:51	119	train	0.2531	0.9276	|	test	1.2629	0.6949
04-14 13:38:07	120	train	0.2427	0.9303	|	test	1.2710	0.6928
04-14 13:38:23	121	train	0.1122	0.9760	|	test	0.9583	0.7578
04-14 13:38:39	122	train	0.0696	0.9886	|	test	0.9626	0.7587
04-14 13:38:55	123	train	0.0589	0.9917	|	test	0.9524	0.7626
04-14 13:39:11	124	train	0.0519	0.9931	|	test	0.9620	0.7630
04-14 13:39:27	125	train	0.0472	0.9941	|	test	0.9545	0.7617
04-14 13:39:44	126	train	0.0429	0.9956	|	test	0.9585	0.7650
04-14 13:40:00	127	train	0.0412	0.9956	|	test	0.9527	0.7644
04-14 13:40:16	128	train	0.0381	0.9963	|	test	0.9568	0.7638
04-14 13:40:32	129	train	0.0360	0.9971	|	test	0.9602	0.7636
04-14 13:40:49	130	train	0.0363	0.9967	|	test	0.9587	0.7639
04-14 13:41:05	131	train	0.0350	0.9968	|	test	0.9546	0.7651
04-14 13:41:21	132	train	0.0342	0.9974	|	test	0.9490	0.7638
04-14 13:41:38	133	train	0.0334	0.9974	|	test	0.9548	0.7673
04-14 13:41:54	134	train	0.0322	0.9978	|	test	0.9532	0.7670
04-14 13:42:10	135	train	0.0308	0.9979	|	test	0.9568	0.7642
04-14 13:42:26	136	train	0.0302	0.9984	|	test	0.9608	0.7654
04-14 13:42:42	137	train	0.0300	0.9981	|	test	0.9542	0.7658
04-14 13:42:59	138	train	0.0303	0.9982	|	test	0.9559	0.7662
04-14 13:43:15	139	train	0.0297	0.9983	|	test	0.9583	0.7647
04-14 13:43:31	140	train	0.0292	0.9983	|	test	0.9525	0.7657
04-14 13:43:46	141	train	0.0285	0.9984	|	test	0.9542	0.7645
04-14 13:44:02	142	train	0.0278	0.9988	|	test	0.9584	0.7661
04-14 13:44:18	143	train	0.0286	0.9986	|	test	0.9569	0.7654
04-14 13:44:34	144	train	0.0283	0.9987	|	test	0.9465	0.7650
04-14 13:44:50	145	train	0.0289	0.9983	|	test	0.9551	0.7657
04-14 13:45:06	146	train	0.0281	0.9987	|	test	0.9469	0.7684
04-14 13:45:22	147	train	0.0272	0.9987	|	test	0.9497	0.7655
04-14 13:45:38	148	train	0.0276	0.9989	|	test	0.9473	0.7660
04-14 13:45:55	149	train	0.0269	0.9989	|	test	0.9526	0.7668
04-14 13:46:11	150	train	0.0279	0.9988	|	test	0.9569	0.7643
04-14 13:46:27	151	train	0.0272	0.9989	|	test	0.9588	0.7623
04-14 13:46:43	152	train	0.0278	0.9987	|	test	0.9665	0.7613
04-14 13:46:58	153	train	0.0278	0.9986	|	test	0.9651	0.7629
04-14 13:47:14	154	train	0.0273	0.9988	|	test	0.9572	0.7639
04-14 13:47:31	155	train	0.0269	0.9989	|	test	0.9607	0.7631
04-14 13:47:47	156	train	0.0270	0.9987	|	test	0.9607	0.7637
04-14 13:48:03	157	train	0.0269	0.9989	|	test	0.9598	0.7615
04-14 13:48:19	158	train	0.0277	0.9988	|	test	0.9569	0.7669
04-14 13:48:35	159	train	0.0271	0.9988	|	test	0.9617	0.7622
04-14 13:48:51	160	train	0.0271	0.9987	|	test	0.9603	0.7621
04-14 13:49:07	161	train	0.0249	0.9992	|	test	0.9513	0.7639
04-14 13:49:23	162	train	0.0234	0.9993	|	test	0.9541	0.7644
04-14 13:49:38	163	train	0.0231	0.9993	|	test	0.9559	0.7648
04-14 13:49:54	164	train	0.0228	0.9994	|	test	0.9515	0.7657
04-14 13:50:10	165	train	0.0227	0.9992	|	test	0.9523	0.7654
04-14 13:50:26	166	train	0.0223	0.9993	|	test	0.9541	0.7647
04-14 13:50:42	167	train	0.0214	0.9994	|	test	0.9490	0.7641
04-14 13:50:58	168	train	0.0218	0.9994	|	test	0.9503	0.7646
04-14 13:51:14	169	train	0.0219	0.9995	|	test	0.9490	0.7660
04-14 13:51:30	170	train	0.0218	0.9993	|	test	0.9514	0.7636
04-14 13:51:46	171	train	0.0222	0.9994	|	test	0.9527	0.7647
04-14 13:52:03	172	train	0.0219	0.9995	|	test	0.9504	0.7642
04-14 13:52:19	173	train	0.0218	0.9995	|	test	0.9512	0.7637
04-14 13:52:35	174	train	0.0220	0.9995	|	test	0.9515	0.7643
04-14 13:52:50	175	train	0.0214	0.9995	|	test	0.9492	0.7659
04-14 13:53:06	176	train	0.0215	0.9994	|	test	0.9527	0.7620
04-14 13:53:22	177	train	0.0213	0.9996	|	test	0.9504	0.7654
04-14 13:53:38	178	train	0.0212	0.9997	|	test	0.9491	0.7641
04-14 13:53:54	179	train	0.0213	0.9996	|	test	0.9499	0.7653
04-14 13:54:10	180	train	0.0215	0.9994	|	test	0.9531	0.7658
04-14 13:54:26	181	train	0.0215	0.9994	|	test	0.9496	0.7644
04-14 13:54:42	182	train	0.0212	0.9995	|	test	0.9545	0.7647
04-14 13:54:57	183	train	0.0214	0.9996	|	test	0.9531	0.7642
04-14 13:55:13	184	train	0.0215	0.9995	|	test	0.9542	0.7642
