04-13 21:32:06	##### arguments #####
04-13 21:32:06	dataset: cifar10
04-13 21:32:06	model_config: config/model/wrn-16-1.json
04-13 21:32:06	-- num_layer: 16
04-13 21:32:06	-- widening_factor: 1
04-13 21:32:06	run_config: config/run/std_train_stepLR.json
04-13 21:32:06	-- batch_size_train: 128
04-13 21:32:06	-- batch_size_eval: 256
04-13 21:32:06	-- num_epochs: 200
04-13 21:32:06	-- learning_rate: 0.1
04-13 21:32:06	-- learning_rate_scheduler: stepLR
04-13 21:32:06	-- learning_rate_steps: [60, 120, 160]
04-13 21:32:06	-- learning_rate_decay: 0.2
04-13 21:32:06	-- momentum: 0.9
04-13 21:32:06	-- weight_decay: 0.0005
04-13 21:32:06	-- dropout_rate: 0
04-13 21:32:06	device: cuda (1 GPUs)
04-13 21:32:06	output_path: results/cifar10/baselines/standard_stepLR/wrn-16-1
04-13 21:32:06	log_file: results/cifar10/baselines/standard_stepLR/wrn-16-1/std_train_wrn_log.txt

04-13 21:32:06	start loading datasets: cifar10
04-13 21:32:07	loaded 50000 dataset_train samples
04-13 21:32:07	loaded 10000 dataset_test samples
04-13 21:32:07	elapsed time: 0:00:01.188065

04-13 21:32:07	start initializing a model
04-13 21:32:07	end initializing a model
04-13 21:32:07	elapsed time:0:00:00.009231

04-13 21:32:07	start setting trainer configurations
04-13 21:32:11	end setting trainer configurations
04-13 21:32:11	elapsed time:0:00:03.798929

04-13 21:32:11	start training a model
04-13 21:32:11	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 21:32:25	001	train	1.3762	0.4947	|	test	1.6802	0.5065
04-13 21:32:40	002	train	0.9623	0.6595	|	test	1.0067	0.6497
04-13 21:32:54	003	train	0.8191	0.7143	|	test	0.9022	0.7048
04-13 21:33:08	004	train	0.7293	0.7486	|	test	0.7433	0.7488
04-13 21:33:22	005	train	0.6726	0.7676	|	test	0.6818	0.7637
04-13 21:33:36	006	train	0.6417	0.7782	|	test	0.8785	0.7072
04-13 21:33:49	007	train	0.6160	0.7876	|	test	0.6409	0.7773
04-13 21:34:04	008	train	0.5956	0.7941	|	test	0.8133	0.7376
04-13 21:34:18	009	train	0.5756	0.8011	|	test	0.7060	0.7622
04-13 21:34:32	010	train	0.5634	0.8060	|	test	0.7809	0.7512
04-13 21:34:45	011	train	0.5552	0.8084	|	test	0.6076	0.7921
04-13 21:34:59	012	train	0.5438	0.8120	|	test	0.6762	0.7746
04-13 21:35:14	013	train	0.5362	0.8165	|	test	0.7229	0.7483
04-13 21:35:28	014	train	0.5272	0.8185	|	test	0.6923	0.7718
04-13 21:35:43	015	train	0.5229	0.8202	|	test	0.6100	0.7953
04-13 21:35:57	016	train	0.5166	0.8222	|	test	0.5724	0.7980
04-13 21:36:11	017	train	0.5082	0.8264	|	test	0.5869	0.7993
04-13 21:36:26	018	train	0.5040	0.8269	|	test	0.5337	0.8155
04-13 21:36:40	019	train	0.5023	0.8290	|	test	0.5587	0.8120
04-13 21:36:53	020	train	0.5023	0.8270	|	test	0.5991	0.8051
