04-14 06:23:20	##### arguments #####
04-14 06:23:20	dataset: cifar100
04-14 06:23:20	model_config: config/model/wrn-40-8.json
04-14 06:23:20	-- num_layer: 40
04-14 06:23:20	-- widening_factor: 8
04-14 06:23:20	run_config: config/run/std_train.json
04-14 06:23:20	-- batch_size_train: 128
04-14 06:23:20	-- batch_size_eval: 256
04-14 06:23:20	-- num_epochs: 100
04-14 06:23:20	-- learning_rate: 0.1
04-14 06:23:20	-- learning_rate_scheduler: cyclicLR
04-14 06:23:20	-- momentum: 0.9
04-14 06:23:20	-- weight_decay: 0.0005
04-14 06:23:20	-- dropout_rate: 0
04-14 06:23:20	device: cuda (1 GPUs)
04-14 06:23:20	output_path: results/cifar100/baselines/standard/wrn-40-8
04-14 06:23:20	log_file: results/cifar100/baselines/standard/wrn-40-8/std_train_wrn_log.txt

04-14 06:23:20	start loading datasets: cifar100
04-14 06:23:22	loaded 50000 dataset_train samples
04-14 06:23:22	loaded 10000 dataset_test samples
04-14 06:23:22	elapsed time: 0:00:01.451623

04-14 06:23:22	start initializing a model
04-14 06:23:22	end initializing a model
04-14 06:23:22	elapsed time:0:00:00.576120

04-14 06:23:22	start setting trainer configurations
04-14 06:23:26	end setting trainer configurations
04-14 06:23:26	elapsed time:0:00:03.884570

04-14 06:23:26	start training a model
04-14 06:23:26	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 06:25:46	001	train	4.5422	0.0249	|	test	4.3840	0.0452
04-14 06:28:06	002	train	4.1653	0.0688	|	test	3.9157	0.1073
04-14 06:30:25	003	train	3.6760	0.1356	|	test	3.4617	0.1739
04-14 06:32:45	004	train	3.2449	0.2079	|	test	3.0721	0.2385
04-14 06:35:05	005	train	2.8051	0.2865	|	test	2.6393	0.3218
04-14 06:37:25	006	train	2.4062	0.3678	|	test	2.4430	0.3613
04-14 06:39:45	007	train	2.0873	0.4366	|	test	2.1122	0.4347
04-14 06:42:05	008	train	1.8471	0.4934	|	test	1.8977	0.4854
04-14 06:44:25	009	train	1.6699	0.5348	|	test	1.9571	0.4790
04-14 06:46:45	010	train	1.5267	0.5700	|	test	1.7918	0.5054
04-14 06:49:05	011	train	1.4148	0.5989	|	test	1.7818	0.5128
04-14 06:51:24	012	train	1.3212	0.6229	|	test	1.5870	0.5628
04-14 06:53:45	013	train	1.2418	0.6408	|	test	1.6416	0.5588
04-14 06:56:04	014	train	1.1698	0.6605	|	test	1.6521	0.5548
04-14 06:58:24	015	train	1.1060	0.6776	|	test	1.6152	0.5640
04-14 07:00:44	016	train	1.0515	0.6927	|	test	1.5118	0.5888
04-14 07:03:04	017	train	1.0092	0.7042	|	test	1.4818	0.5956
04-14 07:05:24	018	train	0.9559	0.7182	|	test	1.6705	0.5716
04-14 07:07:44	019	train	0.9249	0.7248	|	test	1.4038	0.6148
04-14 07:10:04	020	train	0.8798	0.7357	|	test	1.4817	0.6075
04-14 07:12:24	021	train	0.8399	0.7480	|	test	1.4528	0.6167
04-14 07:14:44	022	train	0.8074	0.7588	|	test	1.3053	0.6472
04-14 07:17:04	023	train	0.7793	0.7654	|	test	1.3266	0.6455
04-14 07:19:23	024	train	0.7607	0.7699	|	test	1.4542	0.6212
04-14 07:21:43	025	train	0.7263	0.7803	|	test	1.3260	0.6514
04-14 07:24:03	026	train	0.7045	0.7865	|	test	1.3721	0.6402
04-14 07:26:23	027	train	0.6894	0.7915	|	test	1.3877	0.6393
