04-13 17:12:27	##### arguments #####
04-13 17:12:27	dataset: cifar10
04-13 17:12:27	model_config: config/model/wrn-40-8.json
04-13 17:12:27	-- num_layer: 40
04-13 17:12:27	-- widening_factor: 8
04-13 17:12:27	run_config: config/run/std_train.json
04-13 17:12:27	-- batch_size_train: 128
04-13 17:12:27	-- batch_size_eval: 256
04-13 17:12:27	-- num_epochs: 100
04-13 17:12:27	-- learning_rate: 0.1
04-13 17:12:27	-- learning_rate_scheduler: cyclicLR
04-13 17:12:27	-- momentum: 0.9
04-13 17:12:27	-- weight_decay: 0.0005
04-13 17:12:27	-- dropout_rate: 0
04-13 17:12:27	device: cuda (1 GPUs)
04-13 17:12:27	output_path: results/cifar10/baselines/standard/wrn-40-8
04-13 17:12:27	log_file: results/cifar10/baselines/standard/wrn-40-8/std_train_wrn_log.txt

04-13 17:12:27	start loading datasets: cifar10
04-13 17:12:28	loaded 50000 dataset_train samples
04-13 17:12:28	loaded 10000 dataset_test samples
04-13 17:12:28	elapsed time: 0:00:01.275693

04-13 17:12:28	start initializing a model
04-13 17:12:29	end initializing a model
04-13 17:12:29	elapsed time:0:00:00.608306

04-13 17:12:29	start setting trainer configurations
04-13 17:12:33	end setting trainer configurations
04-13 17:12:33	elapsed time:0:00:03.958745

04-13 17:12:33	start training a model
04-13 17:12:33	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 17:14:55	001	train	2.1077	0.2086	|	test	1.8421	0.3143
04-13 17:17:17	002	train	1.6527	0.3789	|	test	1.4769	0.4492
04-13 17:19:39	003	train	1.3412	0.5136	|	test	1.2240	0.5611
04-13 17:22:01	004	train	1.0474	0.6253	|	test	1.0294	0.6465
04-13 17:24:23	005	train	0.8271	0.7063	|	test	0.7678	0.7263
04-13 17:26:45	006	train	0.6734	0.7650	|	test	0.6474	0.7774
04-13 17:29:07	007	train	0.5689	0.8025	|	test	0.6996	0.7712
04-13 17:31:29	008	train	0.4976	0.8296	|	test	0.5767	0.8056
04-13 17:33:52	009	train	0.4440	0.8471	|	test	0.6270	0.7913
04-13 17:36:14	010	train	0.4066	0.8602	|	test	0.5150	0.8271
04-13 17:38:36	011	train	0.3674	0.8739	|	test	0.4338	0.8583
04-13 17:40:58	012	train	0.3415	0.8820	|	test	0.4823	0.8390
04-13 17:43:20	013	train	0.3174	0.8908	|	test	0.4352	0.8498
04-13 17:45:43	014	train	0.3009	0.8972	|	test	0.5198	0.8275
04-13 17:48:05	015	train	0.2871	0.9013	|	test	0.3918	0.8642
04-13 17:50:27	016	train	0.2752	0.9066	|	test	0.3917	0.8702
04-13 17:52:49	017	train	0.2615	0.9104	|	test	0.4777	0.8476
04-13 17:55:11	018	train	0.2504	0.9148	|	test	0.4173	0.8641
04-13 17:57:33	019	train	0.2462	0.9157	|	test	0.3961	0.8673
04-13 17:59:56	020	train	0.2406	0.9179	|	test	0.4237	0.8620
04-13 18:02:18	021	train	0.2292	0.9232	|	test	0.4257	0.8645
04-13 18:04:40	022	train	0.2302	0.9206	|	test	0.3590	0.8813
04-13 18:07:02	023	train	0.2188	0.9256	|	test	0.3885	0.8712
04-13 18:09:24	024	train	0.2135	0.9278	|	test	0.3613	0.8777
04-13 18:11:46	025	train	0.2085	0.9287	|	test	0.3629	0.8834
04-13 18:14:08	026	train	0.2071	0.9295	|	test	0.3367	0.8915
04-13 18:16:30	027	train	0.2025	0.9317	|	test	0.3652	0.8784
04-13 18:18:52	028	train	0.2025	0.9318	|	test	0.3384	0.8895
04-13 18:21:13	029	train	0.1954	0.9332	|	test	0.2973	0.9005
04-13 18:23:35	030	train	0.1915	0.9357	|	test	0.3736	0.8770
04-13 18:25:57	031	train	0.1868	0.9369	|	test	0.3866	0.8747
04-13 18:28:19	032	train	0.1870	0.9371	|	test	0.4192	0.8691
04-13 18:30:40	033	train	0.1853	0.9369	|	test	0.3871	0.8799
04-13 18:33:02	034	train	0.1776	0.9399	|	test	0.3376	0.8906
04-13 18:35:23	035	train	0.1844	0.9383	|	test	0.3448	0.8895
04-13 18:37:45	036	train	0.1797	0.9394	|	test	0.3563	0.8899
04-13 18:40:07	037	train	0.1850	0.9370	|	test	0.3405	0.8906
04-13 18:42:28	038	train	0.1822	0.9383	|	test	0.3379	0.8902
04-13 18:44:50	039	train	0.1859	0.9367	|	test	0.3577	0.8875
04-13 18:47:11	040	train	0.1784	0.9392	|	test	0.3526	0.8874
04-13 18:49:33	041	train	0.1789	0.9388	|	test	0.5681	0.8381
04-13 18:51:54	042	train	0.1795	0.9389	|	test	0.3550	0.8818
04-13 18:54:16	043	train	0.1787	0.9384	|	test	0.4184	0.8712
04-13 18:56:37	044	train	0.1780	0.9396	|	test	0.4283	0.8708
04-13 18:58:59	045	train	0.1749	0.9410	|	test	0.4792	0.8619
04-13 19:01:20	046	train	0.1794	0.9390	|	test	0.3803	0.8788
04-13 19:03:42	047	train	0.1782	0.9404	|	test	0.3785	0.8790
04-13 19:06:03	048	train	0.1789	0.9388	|	test	0.3172	0.8962
04-13 19:08:24	049	train	0.1762	0.9396	|	test	0.3935	0.8741
04-13 19:10:46	050	train	0.1760	0.9409	|	test	0.3146	0.8996
04-13 19:13:07	051	train	0.1751	0.9402	|	test	0.3959	0.8750
04-13 19:15:29	052	train	0.1739	0.9411	|	test	0.3580	0.8856
04-13 19:17:50	053	train	0.1705	0.9421	|	test	0.4735	0.8582
04-13 19:20:11	054	train	0.1647	0.9447	|	test	0.3601	0.8851
04-13 19:22:33	055	train	0.1623	0.9438	|	test	0.4348	0.8669
04-13 19:24:54	056	train	0.1563	0.9478	|	test	0.3648	0.8837
04-13 19:27:16	057	train	0.1572	0.9469	|	test	0.3006	0.9019
04-13 19:29:37	058	train	0.1569	0.9462	|	test	0.3805	0.8839
04-13 19:31:58	059	train	0.1539	0.9481	|	test	0.3570	0.8877
04-13 19:34:20	060	train	0.1498	0.9488	|	test	0.4134	0.8783
04-13 19:36:41	061	train	0.1461	0.9508	|	test	0.3697	0.8793
