04-14 04:39:04	##### arguments #####
04-14 04:39:04	dataset: cifar100
04-14 04:39:04	model_config: config/model/wrn-40-2.json
04-14 04:39:04	-- num_layer: 40
04-14 04:39:04	-- widening_factor: 2
04-14 04:39:04	run_config: config/run/std_train_stepLR.json
04-14 04:39:04	-- batch_size_train: 128
04-14 04:39:04	-- batch_size_eval: 256
04-14 04:39:04	-- num_epochs: 200
04-14 04:39:04	-- learning_rate: 0.1
04-14 04:39:04	-- learning_rate_scheduler: stepLR
04-14 04:39:04	-- learning_rate_steps: [60, 120, 160]
04-14 04:39:04	-- learning_rate_decay: 0.2
04-14 04:39:04	-- momentum: 0.9
04-14 04:39:04	-- weight_decay: 0.0005
04-14 04:39:04	-- dropout_rate: 0
04-14 04:39:04	device: cuda (1 GPUs)
04-14 04:39:04	output_path: results/cifar100/baselines/standard_stepLR/wrn-40-2
04-14 04:39:04	log_file: results/cifar100/baselines/standard_stepLR/wrn-40-2/std_train_wrn_log.txt

04-14 04:39:04	start loading datasets: cifar100
04-14 04:39:06	loaded 50000 dataset_train samples
04-14 04:39:06	loaded 10000 dataset_test samples
04-14 04:39:06	elapsed time: 0:00:01.497529

04-14 04:39:06	start initializing a model
04-14 04:39:06	end initializing a model
04-14 04:39:06	elapsed time:0:00:00.048645

04-14 04:39:06	start setting trainer configurations
04-14 04:39:10	end setting trainer configurations
04-14 04:39:10	elapsed time:0:00:04.068709

04-14 04:39:10	start training a model
04-14 04:39:10	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 04:39:32	001	train	4.1724	0.0552	|	test	3.8032	0.0959
04-14 04:39:53	002	train	3.5888	0.1342	|	test	3.4982	0.1599
04-14 04:40:15	003	train	3.1374	0.2148	|	test	3.0129	0.2402
04-14 04:40:37	004	train	2.6828	0.3046	|	test	2.5715	0.3278
04-14 04:40:59	005	train	2.3264	0.3804	|	test	2.5374	0.3540
04-14 04:41:20	006	train	2.0961	0.4332	|	test	2.1821	0.4198
04-14 04:41:42	007	train	1.9288	0.4684	|	test	2.1463	0.4299
04-14 04:42:03	008	train	1.8206	0.4984	|	test	2.0007	0.4602
04-14 04:42:24	009	train	1.7209	0.5222	|	test	1.9710	0.4754
04-14 04:42:46	010	train	1.6583	0.5373	|	test	2.1481	0.4418
04-14 04:43:07	011	train	1.6091	0.5483	|	test	1.8652	0.4954
04-14 04:43:28	012	train	1.5545	0.5622	|	test	1.8836	0.4889
04-14 04:43:49	013	train	1.5126	0.5750	|	test	1.8179	0.5150
04-14 04:44:10	014	train	1.4859	0.5808	|	test	2.0140	0.4754
04-14 04:44:31	015	train	1.4513	0.5899	|	test	1.8147	0.5168
04-14 04:44:53	016	train	1.4305	0.5939	|	test	1.7969	0.5204
04-14 04:45:14	017	train	1.4052	0.6016	|	test	1.6744	0.5394
04-14 04:45:36	018	train	1.3867	0.6056	|	test	1.7231	0.5418
04-14 04:45:57	019	train	1.3631	0.6113	|	test	2.0065	0.4827
04-14 04:46:19	020	train	1.3573	0.6138	|	test	1.6631	0.5481
04-14 04:46:40	021	train	1.3397	0.6188	|	test	1.7601	0.5304
04-14 04:47:02	022	train	1.3277	0.6243	|	test	1.6517	0.5529
04-14 04:47:23	023	train	1.3143	0.6242	|	test	1.8160	0.5158
04-14 04:47:44	024	train	1.3026	0.6280	|	test	1.7233	0.5424
04-14 04:48:06	025	train	1.2906	0.6309	|	test	1.7117	0.5363
04-14 04:48:27	026	train	1.2810	0.6333	|	test	1.5854	0.5543
04-14 04:48:48	027	train	1.2799	0.6359	|	test	1.6986	0.5394
04-14 04:49:10	028	train	1.2629	0.6391	|	test	1.6554	0.5546
04-14 04:49:31	029	train	1.2602	0.6394	|	test	1.6344	0.5601
04-14 04:49:53	030	train	1.2516	0.6431	|	test	1.6526	0.5498
04-14 04:50:15	031	train	1.2463	0.6431	|	test	1.6165	0.5560
04-14 04:50:36	032	train	1.2396	0.6442	|	test	1.7020	0.5527
04-14 04:50:57	033	train	1.2270	0.6473	|	test	1.7080	0.5366
04-14 04:51:18	034	train	1.2248	0.6489	|	test	1.6286	0.5575
04-14 04:51:40	035	train	1.2190	0.6521	|	test	1.6728	0.5472
04-14 04:52:01	036	train	1.2084	0.6517	|	test	1.6706	0.5455
04-14 04:52:22	037	train	1.2157	0.6510	|	test	1.6907	0.5393
04-14 04:52:43	038	train	1.2009	0.6566	|	test	1.9277	0.5182
04-14 04:53:05	039	train	1.1938	0.6584	|	test	1.6898	0.5472
04-14 04:53:26	040	train	1.2028	0.6535	|	test	1.6579	0.5533
04-14 04:53:48	041	train	1.1922	0.6582	|	test	1.6831	0.5492
04-14 04:54:09	042	train	1.1897	0.6588	|	test	1.6372	0.5592
04-14 04:54:30	043	train	1.1877	0.6587	|	test	1.5492	0.5871
04-14 04:54:51	044	train	1.1866	0.6594	|	test	1.7589	0.5352
04-14 04:55:13	045	train	1.1882	0.6579	|	test	1.6485	0.5491
04-14 04:55:34	046	train	1.1787	0.6629	|	test	1.6290	0.5618
04-14 04:55:55	047	train	1.1697	0.6651	|	test	1.6782	0.5515
04-14 04:56:16	048	train	1.1720	0.6634	|	test	1.6771	0.5497
