04-13 19:28:40	##### arguments #####
04-13 19:28:40	dataset: cifar10
04-13 19:28:40	model_config: config/model/wrn-40-8.json
04-13 19:28:40	-- num_layer: 40
04-13 19:28:40	-- widening_factor: 8
04-13 19:28:40	run_config: config/run/std_train_stepLR.json
04-13 19:28:40	-- batch_size_train: 128
04-13 19:28:40	-- batch_size_eval: 256
04-13 19:28:40	-- num_epochs: 200
04-13 19:28:40	-- learning_rate: 0.1
04-13 19:28:40	-- learning_rate_scheduler: stepLR
04-13 19:28:40	-- learning_rate_steps: [60, 120, 160]
04-13 19:28:40	-- learning_rate_decay: 0.2
04-13 19:28:40	-- momentum: 0.9
04-13 19:28:40	-- weight_decay: 0.0005
04-13 19:28:40	-- dropout_rate: 0
04-13 19:28:40	device: cuda (1 GPUs)
04-13 19:28:40	output_path: results/cifar10/baselines/standard_stepLR/wrn-40-8
04-13 19:28:40	log_file: results/cifar10/baselines/standard_stepLR/wrn-40-8/std_train_wrn_log.txt

04-13 19:28:40	start loading datasets: cifar10
04-13 19:28:41	loaded 50000 dataset_train samples
04-13 19:28:41	loaded 10000 dataset_test samples
04-13 19:28:41	elapsed time: 0:00:01.183643

04-13 19:28:41	start initializing a model
04-13 19:28:42	end initializing a model
04-13 19:28:42	elapsed time:0:00:00.521061

04-13 19:28:42	start setting trainer configurations
04-13 19:28:46	end setting trainer configurations
04-13 19:28:46	elapsed time:0:00:03.994341

04-13 19:28:46	start training a model
04-13 19:28:46	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 19:31:05	001	train	1.9453	0.2677	|	test	1.7283	0.3588
04-13 19:33:25	002	train	1.5401	0.4282	|	test	1.3842	0.5030
04-13 19:35:45	003	train	1.1960	0.5693	|	test	1.3496	0.5378
04-13 19:38:05	004	train	0.9437	0.6654	|	test	0.8325	0.7025
04-13 19:40:24	005	train	0.7522	0.7390	|	test	0.7721	0.7262
04-13 19:42:44	006	train	0.6187	0.7879	|	test	0.7750	0.7425
04-13 19:45:04	007	train	0.5317	0.8181	|	test	0.5732	0.8026
04-13 19:47:24	008	train	0.4802	0.8363	|	test	0.6359	0.7877
04-13 19:49:43	009	train	0.4421	0.8482	|	test	0.5220	0.8235
04-13 19:52:03	010	train	0.4123	0.8606	|	test	0.5354	0.8156
04-13 19:54:23	011	train	0.3954	0.8658	|	test	0.5327	0.8189
04-13 19:56:42	012	train	0.3770	0.8720	|	test	0.6151	0.7962
04-13 19:59:02	013	train	0.3588	0.8773	|	test	0.6760	0.7928
04-13 20:01:22	014	train	0.3510	0.8805	|	test	0.5722	0.8136
04-13 20:03:41	015	train	0.3503	0.8810	|	test	0.4624	0.8423
04-13 20:06:01	016	train	0.3381	0.8856	|	test	0.5385	0.8281
04-13 20:08:20	017	train	0.3289	0.8880	|	test	0.4375	0.8536
04-13 20:10:40	018	train	0.3229	0.8888	|	test	0.6711	0.7920
04-13 20:13:00	019	train	0.3215	0.8918	|	test	0.5027	0.8309
04-13 20:15:19	020	train	0.3138	0.8925	|	test	0.4374	0.8527
04-13 20:17:39	021	train	0.3121	0.8933	|	test	0.4210	0.8589
04-13 20:19:58	022	train	0.3073	0.8947	|	test	0.4571	0.8522
04-13 20:22:18	023	train	0.3049	0.8955	|	test	0.4570	0.8497
04-13 20:24:37	024	train	0.3018	0.8968	|	test	0.4442	0.8508
04-13 20:26:57	025	train	0.2978	0.8987	|	test	0.4360	0.8558
04-13 20:29:16	026	train	0.2966	0.8991	|	test	0.5885	0.8199
04-13 20:31:35	027	train	0.2970	0.8990	|	test	0.4837	0.8419
04-13 20:33:55	028	train	0.2948	0.9011	|	test	0.3923	0.8662
04-13 20:36:14	029	train	0.2944	0.8997	|	test	0.4588	0.8482
04-13 20:38:34	030	train	0.2955	0.8977	|	test	0.4778	0.8391
04-13 20:40:53	031	train	0.2970	0.8997	|	test	0.7240	0.7993
04-13 20:43:13	032	train	0.2880	0.9025	|	test	0.4463	0.8511
04-13 20:45:32	033	train	0.2871	0.9031	|	test	0.4687	0.8408
04-13 20:47:51	034	train	0.2879	0.9011	|	test	0.4777	0.8422
04-13 20:50:11	035	train	0.2912	0.9017	|	test	0.4453	0.8523
04-13 20:52:30	036	train	0.2849	0.9023	|	test	0.4206	0.8561
04-13 20:54:50	037	train	0.2890	0.9031	|	test	0.4245	0.8590
04-13 20:57:09	038	train	0.2885	0.9012	|	test	0.4784	0.8458
04-13 20:59:28	039	train	0.2861	0.9031	|	test	0.3866	0.8695
04-13 21:01:48	040	train	0.2854	0.9023	|	test	0.5116	0.8383
04-13 21:04:07	041	train	0.2909	0.9010	|	test	0.4117	0.8638
04-13 21:06:26	042	train	0.2837	0.9033	|	test	0.4241	0.8597
04-13 21:08:46	043	train	0.2813	0.9038	|	test	0.3516	0.8814
04-13 21:11:05	044	train	0.2833	0.9037	|	test	0.5371	0.8267
04-13 21:13:24	045	train	0.2790	0.9050	|	test	0.4522	0.8596
04-13 21:15:44	046	train	0.2798	0.9055	|	test	0.5564	0.8224
04-13 21:18:03	047	train	0.2812	0.9047	|	test	0.4894	0.8427
04-13 21:20:22	048	train	0.2771	0.9042	|	test	0.3964	0.8694
04-13 21:22:42	049	train	0.2828	0.9019	|	test	0.5427	0.8249
04-13 21:25:01	050	train	0.2796	0.9044	|	test	0.4693	0.8456
04-13 21:27:21	051	train	0.2736	0.9065	|	test	0.3570	0.8823
04-13 21:29:40	052	train	0.2782	0.9053	|	test	0.4415	0.8531
04-13 21:31:59	053	train	0.2789	0.9044	|	test	0.4192	0.8626
04-13 21:34:19	054	train	0.2729	0.9081	|	test	0.4394	0.8543
04-13 21:36:38	055	train	0.2749	0.9059	|	test	0.4293	0.8567
04-13 21:38:57	056	train	0.2762	0.9052	|	test	0.4160	0.8642
04-13 21:41:17	057	train	0.2753	0.9062	|	test	0.4508	0.8559
04-13 21:43:36	058	train	0.2798	0.9045	|	test	0.5134	0.8348
04-13 21:45:55	059	train	0.2798	0.9041	|	test	0.4177	0.8662
04-13 21:48:15	060	train	0.2781	0.9052	|	test	0.5886	0.8115
04-13 21:50:34	061	train	0.1402	0.9530	|	test	0.1854	0.9364
04-13 21:52:53	062	train	0.0968	0.9679	|	test	0.1882	0.9375
04-13 21:55:13	063	train	0.0813	0.9727	|	test	0.1945	0.9371
04-13 21:57:32	064	train	0.0693	0.9773	|	test	0.1898	0.9384
04-13 21:59:51	065	train	0.0659	0.9782	|	test	0.1856	0.9426
04-13 22:02:11	066	train	0.0572	0.9818	|	test	0.2181	0.9347
04-13 22:04:30	067	train	0.0583	0.9812	|	test	0.2026	0.9396
04-13 22:06:49	068	train	0.0568	0.9811	|	test	0.2063	0.9378
04-13 22:09:09	069	train	0.0567	0.9812	|	test	0.2147	0.9357
04-13 22:11:28	070	train	0.0599	0.9802	|	test	0.2177	0.9332
04-13 22:13:47	071	train	0.0602	0.9801	|	test	0.2197	0.9336
04-13 22:16:07	072	train	0.0577	0.9816	|	test	0.2216	0.9341
04-13 22:18:26	073	train	0.0617	0.9797	|	test	0.2334	0.9314
04-13 22:20:46	074	train	0.0658	0.9778	|	test	0.3015	0.9102
04-13 22:23:05	075	train	0.0663	0.9776	|	test	0.2361	0.9289
04-13 22:25:24	076	train	0.0689	0.9769	|	test	0.2415	0.9274
04-13 22:27:44	077	train	0.0674	0.9773	|	test	0.2843	0.9181
04-13 22:30:03	078	train	0.0692	0.9779	|	test	0.2560	0.9244
04-13 22:32:22	079	train	0.0717	0.9762	|	test	0.2681	0.9255
04-13 22:34:42	080	train	0.0749	0.9749	|	test	0.2345	0.9308
04-13 22:37:01	081	train	0.0672	0.9780	|	test	0.2616	0.9243
04-13 22:39:20	082	train	0.0712	0.9763	|	test	0.2504	0.9262
04-13 22:41:40	083	train	0.0717	0.9762	|	test	0.2558	0.9242
04-13 22:43:59	084	train	0.0700	0.9766	|	test	0.2593	0.9234
04-13 22:46:18	085	train	0.0707	0.9759	|	test	0.2704	0.9207
04-13 22:48:38	086	train	0.0715	0.9757	|	test	0.3540	0.9049
04-13 22:50:57	087	train	0.0719	0.9759	|	test	0.2514	0.9285
04-13 22:53:16	088	train	0.0718	0.9755	|	test	0.2572	0.9212
