04-13 15:21:27	##### arguments #####
04-13 15:21:27	dataset: cifar10
04-13 15:21:27	model_config: config/model/wrn-40-2.json
04-13 15:21:27	-- num_layer: 40
04-13 15:21:27	-- widening_factor: 2
04-13 15:21:27	run_config: config/run/std_train.json
04-13 15:21:27	-- batch_size_train: 128
04-13 15:21:27	-- batch_size_eval: 256
04-13 15:21:27	-- num_epochs: 100
04-13 15:21:27	-- learning_rate: 0.1
04-13 15:21:27	-- learning_rate_scheduler: cyclicLR
04-13 15:21:27	-- momentum: 0.9
04-13 15:21:27	-- weight_decay: 0.0005
04-13 15:21:27	-- dropout_rate: 0
04-13 15:21:27	device: cuda (1 GPUs)
04-13 15:21:27	output_path: results/cifar10/baselines/standard/wrn-40-2
04-13 15:21:27	log_file: results/cifar10/baselines/standard/wrn-40-2/std_train_wrn_log.txt

04-13 15:21:27	start loading datasets: cifar10
04-13 15:21:29	loaded 50000 dataset_train samples
04-13 15:21:29	loaded 10000 dataset_test samples
04-13 15:21:29	elapsed time: 0:00:01.185109

04-13 15:21:29	start initializing a model
04-13 15:21:29	end initializing a model
04-13 15:21:29	elapsed time:0:00:00.047492

04-13 15:21:29	start setting trainer configurations
04-13 15:21:33	end setting trainer configurations
04-13 15:21:33	elapsed time:0:00:04.049568

04-13 15:21:33	start training a model
04-13 15:21:33	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 15:21:55	001	train	2.2637	0.1429	|	test	2.0701	0.2102
04-13 15:22:16	002	train	1.8390	0.3076	|	test	1.7233	0.3705
04-13 15:22:38	003	train	1.5406	0.4279	|	test	1.4499	0.4691
04-13 15:22:59	004	train	1.3219	0.5195	|	test	1.1883	0.5727
04-13 15:23:21	005	train	1.1452	0.5894	|	test	1.0567	0.6155
04-13 15:23:42	006	train	0.9972	0.6432	|	test	1.0756	0.6294
04-13 15:24:04	007	train	0.8769	0.6909	|	test	0.8918	0.6929
04-13 15:24:25	008	train	0.7645	0.7321	|	test	0.8123	0.7179
04-13 15:24:47	009	train	0.6834	0.7607	|	test	0.7064	0.7556
04-13 15:25:09	010	train	0.6231	0.7838	|	test	0.6822	0.7698
04-13 15:25:30	011	train	0.5725	0.8010	|	test	0.6709	0.7703
04-13 15:25:52	012	train	0.5355	0.8138	|	test	0.5887	0.8003
04-13 15:26:14	013	train	0.4992	0.8271	|	test	0.6895	0.7754
04-13 15:26:35	014	train	0.4754	0.8364	|	test	0.5298	0.8191
04-13 15:26:58	015	train	0.4517	0.8434	|	test	0.5637	0.8124
04-13 15:27:19	016	train	0.4312	0.8509	|	test	0.5705	0.8040
04-13 15:27:41	017	train	0.4136	0.8584	|	test	0.4750	0.8376
04-13 15:28:02	018	train	0.3970	0.8665	|	test	0.4627	0.8442
04-13 15:28:24	019	train	0.3847	0.8678	|	test	0.4458	0.8506
04-13 15:28:45	020	train	0.3746	0.8713	|	test	0.4927	0.8348
04-13 15:29:07	021	train	0.3613	0.8751	|	test	0.5301	0.8263
04-13 15:29:29	022	train	0.3482	0.8800	|	test	0.5038	0.8364
04-13 15:29:50	023	train	0.3440	0.8809	|	test	0.4793	0.8418
04-13 15:30:11	024	train	0.3304	0.8870	|	test	0.4457	0.8532
04-13 15:30:33	025	train	0.3261	0.8875	|	test	0.5242	0.8212
04-13 15:30:55	026	train	0.3184	0.8898	|	test	0.4335	0.8545
04-13 15:31:16	027	train	0.3181	0.8918	|	test	0.3887	0.8685
04-13 15:31:38	028	train	0.3078	0.8955	|	test	0.4334	0.8548
04-13 15:31:59	029	train	0.3047	0.8941	|	test	0.4198	0.8607
04-13 15:32:21	030	train	0.2997	0.8972	|	test	0.4328	0.8520
04-13 15:32:42	031	train	0.2986	0.8980	|	test	0.4020	0.8691
